Analyte,lab_code,Units,Start_Run_Date,Site.Name,Long.Site.Name,Planet,Result
2-Methylnaphthalene,HV-485,ng/m3,4/25/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00647
2-Methylnaphthalene,HV-487,ng/m3,5/7/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0086
2-Methylnaphthalene,HV-491,ng/m3,5/19/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00542
2-Methylnaphthalene,HV-494,ng/m3,5/31/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.013
2-Methylnaphthalene,HV-497,ng/m3,6/12/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0103
2-Methylnaphthalene,HV-499,ng/m3,6/24/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00285
2-Methylnaphthalene,HV-502,ng/m3,7/6/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00687
2-Methylnaphthalene,HV-506,ng/m3,7/18/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0169
2-Methylnaphthalene,HV-509,ng/m3,7/30/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.018
2-Methylnaphthalene,HV-512,ng/m3,8/11/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00728
2-Methylnaphthalene,HV-516,ng/m3,8/23/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00701
2-Methylnaphthalene,HV-518,ng/m3,9/4/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00722
2-Methylnaphthalene,HV-522,ng/m3,9/16/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0113
2-Methylnaphthalene,HV-526,ng/m3,9/28/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00381
2-Methylnaphthalene,HV-528,ng/m3,10/10/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00441
2-Methylnaphthalene,HV-533,ng/m3,10/22/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00317
2-Methylnaphthalene,HV-535,ng/m3,11/3/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00408
2-Methylnaphthalene,HV-538,ng/m3,11/15/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
2-Methylnaphthalene,HV-541,ng/m3,11/27/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0034
2-Methylnaphthalene,HV-545,ng/m3,12/9/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0032
2-Methylnaphthalene,HV-549,ng/m3,12/21/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
2-Methylnaphthalene,HV-551,ng/m3,1/2/2018,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00447
5-Methylchrysene,HV-403,ng/m3,7/11/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-408,ng/m3,7/23/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-411,ng/m3,8/5/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-415,ng/m3,8/16/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00262
5-Methylchrysene,HV-418,ng/m3,8/28/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-425,ng/m3,9/21/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-427,ng/m3,10/3/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-431,ng/m3,10/15/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-434,ng/m3,10/27/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00198
5-Methylchrysene,HV-437,ng/m3,11/8/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00214
5-Methylchrysene,HV-440,ng/m3,11/20/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00272
5-Methylchrysene,HV-444,ng/m3,12/2/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-447,ng/m3,12/14/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00311
5-Methylchrysene,HV-450,ng/m3,12/26/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-453,ng/m3,1/7/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0055
5-Methylchrysene,HV-457,ng/m3,1/19/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00392
5-Methylchrysene,HV-460,ng/m3,1/31/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00212
5-Methylchrysene,HV-463,ng/m3,2/12/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-467,ng/m3,2/24/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-470,ng/m3,3/8/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-473,ng/m3,3/20/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00202
5-Methylchrysene,HV-477,ng/m3,4/1/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00299
5-Methylchrysene,HV-480,ng/m3,4/13/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-485,ng/m3,4/25/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-487,ng/m3,5/7/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-491,ng/m3,5/19/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-494,ng/m3,5/31/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-497,ng/m3,6/12/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-499,ng/m3,6/24/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-502,ng/m3,7/6/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-506,ng/m3,7/18/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-509,ng/m3,7/30/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-512,ng/m3,8/11/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-516,ng/m3,8/23/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-518,ng/m3,9/4/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-522,ng/m3,9/16/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-526,ng/m3,9/28/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-528,ng/m3,10/10/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
5-Methylchrysene,HV-533,ng/m3,10/22/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0099
5-Methylchrysene,HV-535,ng/m3,11/3/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00282
5-Methylchrysene,HV-538,ng/m3,11/15/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00311
5-Methylchrysene,HV-541,ng/m3,11/27/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00309
5-Methylchrysene,HV-545,ng/m3,12/9/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00592
5-Methylchrysene,HV-549,ng/m3,12/21/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00431
5-Methylchrysene,HV-551,ng/m3,1/2/2018,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00713
Acenaphthene,HV-403,ng/m3,7/11/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-408,ng/m3,7/23/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-411,ng/m3,8/5/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-415,ng/m3,8/16/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-418,ng/m3,8/28/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-425,ng/m3,9/21/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-427,ng/m3,10/3/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00355
Acenaphthene,HV-431,ng/m3,10/15/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-434,ng/m3,10/27/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-437,ng/m3,11/8/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-440,ng/m3,11/20/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-444,ng/m3,12/2/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-447,ng/m3,12/14/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-450,ng/m3,12/26/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-453,ng/m3,1/7/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-457,ng/m3,1/19/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-460,ng/m3,1/31/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-463,ng/m3,2/12/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-467,ng/m3,2/24/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-470,ng/m3,3/8/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-473,ng/m3,3/20/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-477,ng/m3,4/1/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-480,ng/m3,4/13/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-485,ng/m3,4/25/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-487,ng/m3,5/7/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-491,ng/m3,5/19/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00858
Acenaphthene,HV-494,ng/m3,5/31/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-497,ng/m3,6/12/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-499,ng/m3,6/24/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-502,ng/m3,7/6/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-506,ng/m3,7/18/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00229
Acenaphthene,HV-509,ng/m3,7/30/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-512,ng/m3,8/11/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-516,ng/m3,8/23/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-518,ng/m3,9/4/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-522,ng/m3,9/16/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-526,ng/m3,9/28/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-528,ng/m3,10/10/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-533,ng/m3,10/22/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-535,ng/m3,11/3/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-538,ng/m3,11/15/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-541,ng/m3,11/27/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-545,ng/m3,12/9/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-549,ng/m3,12/21/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Acenaphthene,HV-551,ng/m3,1/2/2018,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0
Anthanthrene,HV-403,ng/m3,7/11/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00347
Anthanthrene,HV-408,ng/m3,7/23/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00274
Anthanthrene,HV-411,ng/m3,8/5/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00615
Anthanthrene,HV-415,ng/m3,8/16/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00577
Anthanthrene,HV-418,ng/m3,8/28/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00357
Anthanthrene,HV-425,ng/m3,9/21/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00342
Anthanthrene,HV-427,ng/m3,10/3/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00691
Anthanthrene,HV-431,ng/m3,10/15/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0106
Anthanthrene,HV-434,ng/m3,10/27/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00598
Anthanthrene,HV-437,ng/m3,11/8/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0125
Anthanthrene,HV-440,ng/m3,11/20/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0143
Anthanthrene,HV-444,ng/m3,12/2/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00423
Anthanthrene,HV-447,ng/m3,12/14/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0167
Anthanthrene,HV-450,ng/m3,12/26/2016,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00804
Anthanthrene,HV-453,ng/m3,1/7/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0245
Anthanthrene,HV-457,ng/m3,1/19/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00505
Anthanthrene,HV-460,ng/m3,1/31/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00965
Anthanthrene,HV-463,ng/m3,2/12/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00728
Anthanthrene,HV-467,ng/m3,2/24/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00579
Anthanthrene,HV-470,ng/m3,3/8/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0112
Anthanthrene,HV-473,ng/m3,3/20/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00846
Anthanthrene,HV-477,ng/m3,4/1/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0175
Anthanthrene,HV-480,ng/m3,4/13/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00602
Anthanthrene,HV-485,ng/m3,4/25/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00606
Anthanthrene,HV-487,ng/m3,5/7/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00703
Anthanthrene,HV-491,ng/m3,5/19/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00598
Anthanthrene,HV-494,ng/m3,5/31/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00699
Anthanthrene,HV-497,ng/m3,6/12/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00522
Anthanthrene,HV-499,ng/m3,6/24/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00792
Anthanthrene,HV-502,ng/m3,7/6/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.00668
Anthanthrene,HV-506,ng/m3,7/18/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0113
Anthanthrene,HV-509,ng/m3,7/30/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0104
Anthanthrene,HV-512,ng/m3,8/11/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0175
Anthanthrene,HV-516,ng/m3,8/23/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0125
Anthanthrene,HV-518,ng/m3,9/4/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0143
Anthanthrene,HV-522,ng/m3,9/16/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.014
Anthanthrene,HV-526,ng/m3,9/28/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0234
Anthanthrene,HV-528,ng/m3,10/10/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0228
Anthanthrene,HV-533,ng/m3,10/22/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0215
Anthanthrene,HV-535,ng/m3,11/3/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0204
Anthanthrene,HV-538,ng/m3,11/15/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0216
Anthanthrene,HV-541,ng/m3,11/27/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0136
Anthanthrene,HV-545,ng/m3,12/9/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.03
Anthanthrene,HV-549,ng/m3,12/21/2017,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.018
Anthanthrene,HV-551,ng/m3,1/2/2018,battlesite1,Endor_Tana_forestmoon_battlesite1,Endor,0.0331
