receipt_date,item,origin,destination,amount,units,price_per_pound
4/29/2013,Hyperdrive motivator,Outskirts,Niima Outpost,1546,Tons,1485.28
4/30/2013,Navigation computer,Tuanul,Niima Outpost,7187,Tons,259.56
5/1/2013,Flight recorder,Tuanul,Trade caravan,12768,Tons,590.93
5/2/2013,Lateral thruster,Cratertown,Raiders,7482,Tons,1570.65
5/3/2013,Retrorocket,Cratertown,Niima Outpost,4275,Tons,588.68
5/4/2013,Navigation computer,Blowback Town,Raiders,8308,Tons,259.56
5/5/2013,Lateral thruster,Blowback Town,Niima Outpost,7883,Tons,1570.65
5/6/2013,Retrorocket,Reestki,Niima Outpost,9288,Tons,588.68
5/7/2013,Ion engine,Tuanul,Raiders,6577,TONS,1605.85
5/8/2013,Landing jet,Outskirts,Niima Outpost,65,Tons,1496.74
5/9/2013,Sublight drive,Reestki,Raiders,211,Tons,420.36
5/10/2013,Dedicated energy receptor,Cratertown,Niima Outpost,5763,Tons,281.01
5/11/2013,Electromagnetic discharge filter,Cratertown,Raiders,3650,Tons,188.28
5/12/2013,Vitus-Series Attitude Thrusters,Tuanul,Trade caravan,7145,Tons,225.54
5/13/2013,Lateral thruster,Tuanul,Niima Outpost,4312,Tons,1570.65
5/14/2013,Sublight engine,Cratertown,Raiders,299,Tons,7211.01
5/15/2013,Ion engine,Blowback Town,Niima Outpost,895,TONS,1605.85
5/16/2013,Turbo injector,Tuanul,Trade caravan,2728,Tons,845.72
5/17/2013,Landing jet,Reestki,Niima Outpost,5192,Tons,1496.74
5/18/2013,Hyperdrive motivator,Reestki,Raiders,1441,Tons,1485.28
5/19/2013,Retrorocket,Blowback Town,Niima Outpost,6672,Tons,588.68
5/20/2013,Dedicated energy receptor,Reestki,Trade caravan,2980,Tons,281.01
5/22/2013,Aural sensor,Outskirts,Niima Outpost,3005,Tons,145.27
5/23/2013,Aural sensor,Tuanul,Raiders,6204,Tons,145.27
5/24/2013,Maneuvering jet,Reestki,Raiders,15578,Tons,2167.84
5/25/2013,Sublight drive,Reestki,Trade caravan,988,Tons,420.36
5/26/2013,Dedicated energy receptor,Cratertown,Niima Outpost,2358,Tons,281.01
5/27/2013,Turbo injector,Outskirts,Raiders,2136,Tons,845.72
5/28/2013,Navigation computer,Cratertown,Trade caravan,12390,Tons,259.56
5/29/2013,Maneuvering jet,Tuanul,Niima Outpost,9444,Tons,2167.84
5/30/2013,Maneuvering jet,Reestki,Trade caravan,477,Tons,2167.84
5/31/2013,Sublight drive,Tuanul,Niima Outpost,5070,Tons,420.36
6/1/2013,Lateral thruster,Tuanul,Raiders,10643,Tons,1570.65
6/2/2013,Flight recorder,Reestki,Trade caravan,2330,Tons,590.93
6/3/2013,Reactant agitator injector,Reestki,Raiders,20834,Tons,790.68
6/4/2013,Aural sensor,Tuanul,Raiders,3120,Tons,145.27
6/5/2013,Lateral thruster,Reestki,Trade caravan,696,Tons,1570.65
6/6/2013,Turbo injector,Blowback Town,Niima Outpost,4943,Tons,845.72
6/7/2013,Turbo injector,Reestki,Raiders,6392,Tons,845.72
6/8/2013,Landing jet,Tuanul,Trade caravan,6913,Tons,1496.74
6/9/2013,Proximity sensor,Reestki,Trade caravan,22294,Tons,1229.03
6/10/2013,Aural sensor,Blowback Town,Niima Outpost,2312,Tons,145.27
6/11/2013,Retrorocket,Cratertown,Niima Outpost,9339,Tons,588.68
6/12/2013,Sublight drive,Blowback Town,Raiders,1424,Tons,420.36
6/13/2013,Retrorocket,Blowback Town,Trade caravan,3466,Tons,588.68
6/14/2013,Sublight engine,Blowback Town,Raiders,8582,Tons,7211.01
6/15/2013,Hyperdrive motivator,Blowback Town,Trade caravan,16489,Tons,1485.28
6/16/2013,Ion engine,Reestki,Niima Outpost,2735,TONS,1605.85
6/17/2013,Electromagnetic discharge filter,Tuanul,Raiders,5088,Tons,188.28
6/18/2013,Hyperdrive motivator,Blowback Town,Raiders,4012,Tons,1485.28
6/19/2013,Retrorocket,Tuanul,Trade caravan,17320,Tons,588.68
6/20/2013,Aural sensor,Outskirts,Trade caravan,6272,Tons,145.27
6/21/2013,Navigation computer,Reestki,Raiders,1826,Tons,259.56
6/22/2013,Turbo injector,Tuanul,Trade caravan,4158,Tons,845.72
6/23/2013,Retrorocket,Tuanul,Raiders,2055,Tons,588.68
6/24/2013,Reactant agitator injector,Cratertown,Niima Outpost,11452,Tons,790.68
6/25/2013,Vitus-Series Attitude Thrusters,Cratertown,Raiders,914,Tons,225.54
6/26/2013,Reactant agitator injector,Blowback Town,Raiders,4343,Tons,790.68
6/27/2013,Proximity sensor,Cratertown,Trade caravan,1392,Tons,1229.03
6/28/2013,Proximity sensor,Blowback Town,Raiders,444,Tons,1229.03
6/29/2013,Navigation computer,Tuanul,Trade caravan,5397,Tons,259.56
6/30/2013,Lateral thruster,Blowback Town,Niima Outpost,6878,Tons,1570.65
7/1/2013,Reactant agitator injector,Reestki,Trade caravan,1544,Tons,790.68
7/2/2013,Maneuvering jet,Tuanul,Raiders,346,Tons,2167.84
7/3/2013,Vitus-Series Attitude Thrusters,Blowback Town,Raiders,5592,Tons,225.54
7/4/2013,Electromagnetic discharge filter,Cratertown,Niima Outpost,13978,Tons,188.28
7/5/2013,Sublight drive,Outskirts,Raiders,214,Tons,420.36
7/6/2013,Lateral thruster,Cratertown,Trade caravan,10656,Tons,1570.65
7/7/2013,Dedicated energy receptor,Blowback Town,Niima Outpost,129,Tons,281.01
7/8/2013,Navigation computer,Cratertown,Raiders,1421,Tons,259.56
7/9/2013,Maneuvering jet,Tuanul,Trade caravan,4194,Tons,2167.84
7/10/2013,Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,15258,Tons,225.54
7/11/2013,Flight recorder,Cratertown,Niima Outpost,2453,Tons,590.93
7/12/2013,Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,4164,Tons,225.54
7/13/2013,Lateral thruster,Reestki,Niima Outpost,4932,Tons,1570.65
7/14/2013,Turbo injector,Blowback Town,Trade caravan,256,Tons,845.72
7/15/2013,Hyperdrive motivator,Blowback Town,Niima Outpost,968,Tons,1485.28
7/16/2013,Aural sensor,Reestki,Raiders,2421,Tons,145.27
7/17/2013,Lateral thruster,Cratertown,Trade caravan,289,Tons,1570.65
7/18/2013,Vitus-Series Attitude Thrusters,Tuanul,Niima Outpost,3664,Tons,225.54
7/19/2013,Flight recorder,Outskirts,Trade caravan,1692,Tons,590.93
7/20/2013,Electromagnetic discharge filter,Reestki,Niima Outpost,9442,Tons,188.28
7/21/2013,Proximity sensor,Outskirts,Raiders,10494,Tons,1229.03
7/22/2013,Flight recorder,Cratertown,Niima Outpost,381,Tons,590.93
7/23/2013,Retrorocket,Tuanul,Trade caravan,566,Tons,588.68
7/24/2013,Turbo injector,Cratertown,Trade caravan,2799,Tons,845.72
7/25/2013,Proximity sensor,Reestki,Niima Outpost,9661,Tons,1229.03
7/26/2013,Turbo injector,Outskirts,Niima Outpost,3575,Tons,845.72
7/27/2013,Ion engine,Tuanul,Raiders,1036,TONS,1605.85
7/28/2013,Sublight drive,Cratertown,Niima Outpost,3169,Tons,420.36
7/29/2013,Dedicated energy receptor,Cratertown,Trade caravan,1278,Tons,281.01
7/30/2013,Turbo injector,Tuanul,Trade caravan,1228,Tons,845.72
7/31/2013,Proximity sensor,Cratertown,Trade caravan,18141,Tons,1229.03
8/1/2013,Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,7916,Tons,225.54
8/2/2013,Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,1011,Tons,225.54
8/3/2013,Ion engine,Outskirts,Niima Outpost,1537,TONS,1605.85
8/4/2013,Electromagnetic discharge filter,Blowback Town,Trade caravan,10998,Tons,188.28
8/5/2013,Dedicated energy receptor,Tuanul,Trade caravan,5110,Tons,281.01
8/6/2013,Sublight engine,Cratertown,Raiders,1768,Tons,7211.01
8/7/2013,Electromagnetic discharge filter,Tuanul,Trade caravan,8142,Tons,188.28
8/8/2013,Landing jet,Outskirts,Raiders,185,Tons,1496.74
8/9/2013,Electromagnetic discharge filter,Blowback Town,Trade caravan,3788,Tons,188.28
8/10/2013,Lateral thruster,Blowback Town,Raiders,2956,Tons,1570.65
8/11/2013,Aural sensor,Cratertown,Raiders,3482,Tons,145.27
8/12/2013,Sublight engine,Outskirts,Niima Outpost,130,Tons,7211.01
8/13/2013,Electromagnetic discharge filter,Cratertown,Trade caravan,2698,Tons,188.28
8/14/2013,Vitus-Series Attitude Thrusters,Blowback Town,Niima Outpost,1735,Tons,225.54
8/15/2013,Landing jet,Tuanul,Trade caravan,18423,Tons,1496.74
8/16/2013,Aural sensor,Tuanul,Niima Outpost,3519,Tons,145.27
8/17/2013,Dedicated energy receptor,Cratertown,Raiders,2470,Tons,281.01
8/18/2013,Ion engine,Tuanul,Trade caravan,4378,TONS,1605.85
8/19/2013,Navigation computer,Blowback Town,Niima Outpost,1601,Tons,259.56
8/20/2013,Aural sensor,Cratertown,Raiders,11105,Tons,145.27
8/21/2013,Retrorocket,Blowback Town,Trade caravan,778,Tons,588.68
8/22/2013,Reactant agitator injector,Cratertown,Trade caravan,6767,Tons,790.68
8/23/2013,Navigation computer,Reestki,Niima Outpost,7429,Tons,259.56
8/24/2013,Turbo injector,Tuanul,Niima Outpost,5654,Tons,845.72
8/25/2013,Aural sensor,Tuanul,Niima Outpost,4937,Tons,145.27
8/26/2013,Ion engine,Cratertown,Raiders,1021,TONS,1605.85
8/27/2013,Maneuvering jet,Outskirts,Raiders,580,Tons,2167.84
8/28/2013,Dedicated energy receptor,Blowback Town,Trade caravan,6320,Tons,281.01
8/29/2013,Reactant agitator injector,Cratertown,Niima Outpost,3247,Tons,790.68
8/30/2013,Flight recorder,Tuanul,Niima Outpost,8226,Tons,590.93
8/31/2013,Lateral thruster,Outskirts,Raiders,1389,Tons,1570.65
9/1/2013,Reactant agitator injector,Cratertown,Niima Outpost,1286,Tons,790.68
9/2/2013,Maneuvering jet,Blowback Town,Trade caravan,11979,Tons,2167.84
9/3/2013,Sublight engine,Reestki,Niima Outpost,11609,Tons,7211.01
9/4/2013,Flight recorder,Tuanul,Raiders,2835,Tons,590.93
9/5/2013,Turbo injector,Reestki,Niima Outpost,6031,Tons,845.72
9/6/2013,Maneuvering jet,Cratertown,Niima Outpost,385,Tons,2167.84
9/7/2013,Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,14026,Tons,225.54
9/8/2013,Maneuvering jet,Outskirts,Trade caravan,8370,Tons,2167.84
9/9/2013,Proximity sensor,Outskirts,Niima Outpost,4438,Tons,1229.03
9/10/2013,Dedicated energy receptor,Blowback Town,Niima Outpost,4245,Tons,281.01
9/11/2013,Aural sensor,Cratertown,Niima Outpost,10755,Tons,145.27
9/12/2013,Hyperdrive motivator,Reestki,Trade caravan,7345,Tons,1485.28
9/13/2013,Sublight engine,Tuanul,Niima Outpost,1559,Tons,7211.01
9/14/2013,Navigation computer,Tuanul,Niima Outpost,4760,Tons,259.56
9/15/2013,Aural sensor,Outskirts,Raiders,582,Tons,145.27
9/16/2013,Reactant agitator injector,Tuanul,Trade caravan,5658,Tons,790.68
9/17/2013,Hyperdrive motivator,Blowback Town,Raiders,2844,Tons,1485.28
9/18/2013,Vitus-Series Attitude Thrusters,Blowback Town,Trade caravan,652,Tons,225.54
9/19/2013,Sublight engine,Blowback Town,Raiders,1753,Tons,7211.01
9/20/2013,Maneuvering jet,Outskirts,Trade caravan,7453,Tons,2167.84
9/21/2013,Reactant agitator injector,Cratertown,Raiders,4336,Tons,790.68
9/22/2013,Navigation computer,Outskirts,Niima Outpost,8194,Tons,259.56
9/23/2013,Dedicated energy receptor,Cratertown,Raiders,3967,Tons,281.01
9/24/2013,Reactant agitator injector,Reestki,Trade caravan,7899,Tons,790.68
9/25/2013,Dedicated energy receptor,Cratertown,Trade caravan,26167,Tons,281.01
9/26/2013,Turbo injector,Reestki,Raiders,986,Tons,845.72
9/27/2013,Reactant agitator injector,Tuanul,Raiders,5015,Tons,790.68
9/28/2013,Electromagnetic discharge filter,Reestki,Niima Outpost,386,Tons,188.28
9/29/2013,Ion engine,Tuanul,Trade caravan,6793,TONS,1605.85
9/30/2013,Ion engine,Tuanul,Trade caravan,776,TONS,1605.85
10/1/2013,Hyperdrive motivator,Outskirts,Trade caravan,1124,Tons,1485.28
10/2/2013,Sublight drive,Blowback Town,Trade caravan,2625,Tons,420.36
10/3/2013,Reactant agitator injector,Outskirts,Trade caravan,7042,Tons,790.68
10/4/2013,Retrorocket,Tuanul,Raiders,2840,Tons,588.68
10/5/2013,Ion engine,Cratertown,Raiders,12539,TONS,1605.85
10/6/2013,Flight recorder,Blowback Town,Trade caravan,3364,Tons,590.93
10/7/2013,Sublight engine,Blowback Town,Niima Outpost,8729,Tons,7211.01
10/8/2013,Flight recorder,Tuanul,Trade caravan,4935,Tons,590.93
10/9/2013,Retrorocket,Outskirts,Niima Outpost,1052,Tons,588.68
10/10/2013,Reactant agitator injector,Cratertown,Raiders,6471,Tons,790.68
10/11/2013,Retrorocket,Outskirts,Raiders,219,Tons,588.68
10/12/2013,Dedicated energy receptor,Reestki,Niima Outpost,170,Tons,281.01
10/13/2013,Vitus-Series Attitude Thrusters,Reestki,Trade caravan,2278,Tons,225.54
10/14/2013,Ion engine,Cratertown,Niima Outpost,12007,TONS,1605.85
10/15/2013,Turbo injector,Tuanul,Niima Outpost,4491,Tons,845.72
10/16/2013,Retrorocket,Tuanul,Niima Outpost,1441,Tons,588.68
10/17/2013,Hyperdrive motivator,Outskirts,Raiders,10799,Tons,1485.28
10/18/2013,Electromagnetic discharge filter,Cratertown,Trade caravan,1298,Tons,188.28
10/21/2013,Maneuvering jet,Reestki,Niima Outpost,8757,Tons,2167.84
10/22/2013,Electromagnetic discharge filter,Blowback Town,Trade caravan,2498,Tons,188.28
10/23/2013,Aural sensor,Reestki,Niima Outpost,4087,Tons,145.27
10/24/2013,Reactant agitator injector,Tuanul,Raiders,10331,Tons,790.68
10/25/2013,Electromagnetic discharge filter,Reestki,Raiders,2115,Tons,188.28
10/26/2013,Lateral thruster,Outskirts,Niima Outpost,936,Tons,1570.65
10/27/2013,Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,570,Tons,225.54
10/28/2013,Ion engine,Blowback Town,Raiders,7453,TONS,1605.85
10/29/2013,Proximity sensor,Blowback Town,Trade caravan,7920,Tons,1229.03
10/30/2013,Vitus-Series Attitude Thrusters,Cratertown,Trade caravan,6277,Tons,225.54
10/31/2013,Retrorocket,Tuanul,Trade caravan,9167,Tons,588.68
11/1/2013,Proximity sensor,Tuanul,Niima Outpost,5565,Tons,1229.03
5/21/2013,Dedicated energy receptor,Reestki,Raiders,4069,Tons,281.01
10/19/2013,Navigation computer,Tuanul,Trade caravan,4510,Tons,259.56
10/20/2013,Sublight engine,Cratertown,Trade caravan,431,Tons,7211.01
4/1/2014,Flight recorder,Reestki,Trade caravan,8052,Tons,590.93
4/2/2014,Landing jet,Cratertown,Niima Outpost,4111,Tons,1496.74
4/3/2014,Reactant agitator injector,Tuanul,Raiders,3208,Tons,790.68
4/4/2014,Lateral thruster,Tuanul,Trade caravan,15295,Tons,1570.65
4/5/2014,Navigation computer,Outskirts,Niima Outpost,2919,Tons,259.56
4/6/2014,Lateral thruster,Tuanul,Niima Outpost,3455,Tons,1570.65
12/31/2016,Total,All,All,2971601,Tons,579215.27
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
