receipt_date,item,origin,destination,amount,units,price_per_pound
6/9/2013,Attitude thruster,Outskirts,Niima Outpost,546,Items,314.23
6/10/2013,Dual-drive system,Outskirts,Trade caravan,1231,Items,377.12
6/11/2013,Antishock field,Cratertown,Niima Outpost,4686,Items,1329.05
6/12/2013,Microthruster,Tuanul,Trade caravan,10015,Items,506.62
6/13/2013,Attitude thruster,Cratertown,Niima Outpost,2103,Items,314.23
6/14/2013,Ion drive,Reestki,Raiders,625,Items,1168.53
6/15/2013,Enviro filter,Cratertown,Raiders,493,Items,478.76
6/16/2013,Magnetic turbine,Tuanul,Trade caravan,5388,Items,31.77
6/17/2013,Dual-drive system,Cratertown,Raiders,3158,Items,377.12
6/18/2013,Black box,Tuanul,Trade caravan,263,Items,29.15
6/19/2013,Energy-wave detector,Tuanul,Niima Outpost,10053,Items,1563.2
6/20/2013,Attitude thruster,Reestki,Trade caravan,2706,Items,314.23
6/21/2013,Atmospheric thrusters,Outskirts,Niima Outpost,2334,Items,56.21
6/22/2013,Attitude thruster,Reestki,Raiders,3389,Items,314.23
6/23/2013,Main drive,Blowback Town,Trade caravan,551,Items,597.85
6/24/2013,Main drive,Tuanul,Trade caravan,1846,Items,597.85
6/25/2013,Full-spectrum transceiver,Blowback Town,Niima Outpost,3462,Items,4041.01
6/26/2013,Dual-drive system,Blowback Town,Raiders,7304,Items,377.12
6/27/2013,Acceleration compensator,Reestki,Niima Outpost,3568,Items,843.46
6/28/2013,Backup hyperdrive,Tuanul,Raiders,480,Items,2726.24
6/29/2013,Repulsorlift generator,Tuanul,Trade caravan,14287,Items,1254.64
6/30/2013,Atmospheric processor,Cratertown,Trade caravan,1238,Items,31.58
7/1/2013,Repulsorlift generator,Outskirts,Trade caravan,126,Items,1254.64
7/2/2013,Hyperdrive,Blowback Town,Niima Outpost,4873,Items,965.87
7/3/2013,Enviro filter,Blowback Town,Raiders,814,Items,478.76
7/4/2013,Atmospheric thrusters,Blowback Town,Niima Outpost,4056,Items,56.21
7/5/2013,Enviro filter,Blowback Town,Raiders,2478,Items,478.76
7/6/2013,Black box,Cratertown,Niima Outpost,348,Items,29.15
7/7/2013,Full-spectrum transceiver,Outskirts,Raiders,4510,Items,4041.01
7/8/2013,Black box,Blowback Town,Trade caravan,4329,Items,29.15
7/9/2013,Electrotelescope,Tuanul,Raiders,1009,Items,849.79
7/10/2013,Magnetic turbine,Reestki,Trade caravan,364,Items,31.77
7/11/2013,Energy-wave detector,Outskirts,Niima Outpost,975,Items,1563.2
7/12/2013,Electrotelescope,Outskirts,Raiders,20296,Items,849.79
7/13/2013,Inertial compensator,Reestki,Trade caravan,25458,Items,1348.04
7/14/2013,Black box,Outskirts,Raiders,20270,Items,29.15
7/15/2013,Carbon-Durasteel Armor,Tuanul,Niima Outpost,4147,Items,480.21
7/16/2013,Backup hyperdrive,Reestki,Trade caravan,3370,Items,2726.24
7/17/2013,Main drive,Tuanul,Trade caravan,856,Items,597.85
7/18/2013,Energy-wave detector,Outskirts,Raiders,9094,Items,1563.2
7/19/2013,Inertial compensator,Reestki,Trade caravan,5250,Items,1348.04
7/20/2013,Dual-drive system,Cratertown,Niima Outpost,1857,Items,377.12
7/21/2013,Microthruster,Cratertown,Raiders,3235,Items,506.62
7/22/2013,Carbon-Durasteel Armor,Cratertown,Trade caravan,5945,Items,480.21
7/23/2013,Hyperdrive,Tuanul,Raiders,4695,Items,965.87
7/24/2013,Carbon-Durasteel Armor,Reestki,Trade caravan,11461,Items,480.21
7/25/2013,Ion drive,Cratertown,Niima Outpost,652,Items,1168.53
7/26/2013,Enviro filter,Blowback Town,Niima Outpost,558,Items,478.76
7/27/2013,Main drive,Outskirts,Raiders,9249,Items,597.85
7/28/2013,Attitude thruster,Outskirts,Trade caravan,2302,Items,314.23
7/29/2013,Enviro filter,Cratertown,Trade caravan,344,Items,478.76
7/30/2013,Energy-wave detector,Outskirts,Raiders,4507,Items,1563.2
7/31/2013,Hyperdrive,Blowback Town,Trade caravan,6098,Items,965.87
8/1/2013,Carbon-Durasteel Armor,Outskirts,Niima Outpost,1455,Items,480.21
8/2/2013,Black box,Cratertown,Raiders,1789,Items,29.15
8/3/2013,Main drive,Reestki,Trade caravan,7883,Items,597.85
8/4/2013,Antishock field,Tuanul,Niima Outpost,1128,Items,1329.05
8/5/2013,Electrotelescope,Outskirts,Trade caravan,3684,Items,849.79
8/6/2013,Enviro filter,Outskirts,Niima Outpost,7,Items,478.76
8/7/2013,Antishock field,Reestki,Raiders,12989,Items,1329.05
8/8/2013,Enviro filter,Reestki,Trade caravan,3109,Items,478.76
8/9/2013,Hyperdrive,Reestki,Niima Outpost,9528,Items,965.87
8/10/2013,Ion drive,Cratertown,Raiders,20639,Items,1168.53
8/11/2013,Inertial compensator,Outskirts,Niima Outpost,6384,Items,1348.04
8/12/2013,Antishock field,Cratertown,Raiders,5095,Items,1329.05
8/13/2013,Carbon-Durasteel Armor,Cratertown,Trade caravan,389,Items,480.21
8/14/2013,Enviro filter,Blowback Town,Niima Outpost,3139,Items,478.76
8/15/2013,Backup hyperdrive,Blowback Town,Raiders,167,Items,2726.24
8/16/2013,Attitude thruster,Blowback Town,Niima Outpost,3307,Items,314.23
8/17/2013,Ion drive,Outskirts,Trade caravan,2657,Items,1168.53
8/18/2013,Main drive,Blowback Town,Niima Outpost,4759,Items,597.85
8/19/2013,Dual-drive system,Tuanul,Niima Outpost,1581,Items,377.12
8/20/2013,Microthruster,Cratertown,Raiders,8861,Items,506.62
8/21/2013,Enviro filter,Cratertown,Trade caravan,847,Items,478.76
8/22/2013,Microthruster,Blowback Town,Trade caravan,8387,Items,506.62
8/23/2013,Carbon-Durasteel Armor,Outskirts,Niima Outpost,18982,Items,480.21
8/24/2013,Black box,Blowback Town,Raiders,6075,Items,29.15
8/25/2013,Carbon-Durasteel Armor,Cratertown,Niima Outpost,9589,Items,480.21
8/26/2013,Inertial compensator,Tuanul,Raiders,2053,Items,1348.04
8/27/2013,Enviro filter,Tuanul,Raiders,20951,Items,478.76
8/28/2013,Main drive,Cratertown,Niima Outpost,5941,Items,597.85
8/29/2013,Electrotelescope,Outskirts,Trade caravan,529,Items,849.79
8/30/2013,Acceleration compensator,Blowback Town,Niima Outpost,1763,Items,843.46
8/31/2013,Acceleration compensator,Cratertown,Niima Outpost,5580,Items,843.46
9/1/2013,Atmospheric processor,Reestki,Raiders,307,Items,31.58
9/2/2013,Optical transducer panel,Tuanul,Niima Outpost,4836,Items,2596.89
9/3/2013,Atmospheric processor,Blowback Town,Raiders,1083,Items,31.58
9/4/2013,Magnetic turbine,Outskirts,Trade caravan,7510,Items,31.77
9/5/2013,Optical transducer panel,Blowback Town,Niima Outpost,10722,Items,2596.89
9/6/2013,Attitude thruster,Cratertown,Raiders,95,Items,314.23
9/7/2013,Enviro filter,Cratertown,Trade caravan,2874,Items,478.76
9/8/2013,Black box,Outskirts,Niima Outpost,5639,Items,29.15
9/9/2013,Antishock field,Tuanul,Raiders,20362,Items,1329.05
9/10/2013,Enviro filter,Tuanul,Trade caravan,2461,Items,478.76
9/11/2013,Antishock field,Outskirts,Niima Outpost,18218,Items,1329.05
9/12/2013,Black box,Cratertown,Raiders,3756,Items,29.15
9/13/2013,Antishock field,Tuanul,Trade caravan,3124,Items,1329.05
9/14/2013,Main drive,Blowback Town,Niima Outpost,1275,Items,597.85
9/15/2013,Dual-drive system,Cratertown,Raiders,1306,Items,377.12
9/16/2013,Atmospheric thrusters,Blowback Town,Trade caravan,6284,Items,56.21
9/17/2013,Atmospheric processor,Reestki,Niima Outpost,4674,Items,31.58
9/18/2013,Optical transducer panel,Tuanul,Trade caravan,5022,Items,2596.89
9/19/2013,Atmospheric thrusters,Tuanul,Trade caravan,9065,Items,56.21
9/20/2013,Atmospheric thrusters,Tuanul,Niima Outpost,2414,Items,56.21
9/21/2013,Acceleration compensator,Outskirts,Niima Outpost,10556,Items,843.46
9/22/2013,Hyperdrive,Outskirts,Raiders,6331,Items,965.87
9/23/2013,Attitude thruster,Blowback Town,Trade caravan,1088,Items,314.23
9/24/2013,Acceleration compensator,Tuanul,Niima Outpost,5375,Items,843.46
9/25/2013,Full-spectrum transceiver,Outskirts,Raiders,3487,Items,4041.01
9/26/2013,Hyperdrive,Blowback Town,Trade caravan,19969,Items,965.87
9/27/2013,Enviro filter,Tuanul,Niima Outpost,15489,Items,478.76
9/28/2013,Microthruster,Outskirts,Trade caravan,1091,Items,506.62
9/29/2013,Antishock field,Cratertown,Niima Outpost,1747,Items,1329.05
9/30/2013,Electrotelescope,Reestki,Raiders,6926,Items,849.79
10/1/2013,Electrotelescope,Blowback Town,Trade caravan,10777,Items,849.79
10/2/2013,Repulsorlift generator,Blowback Town,Niima Outpost,3291,Items,1254.64
10/3/2013,Repulsorlift generator,Cratertown,Raiders,2710,Items,1254.64
10/4/2013,Dual-drive system,Outskirts,Trade caravan,1618,Items,377.12
10/5/2013,Attitude thruster,Blowback Town,Niima Outpost,2852,Items,314.23
10/6/2013,Atmospheric thrusters,Reestki,Trade caravan,4005,Items,56.21
10/7/2013,Activation cylinder,Tuanul,Niima Outpost,2222,Items,576.61
10/8/2013,Activation cylinder,Outskirts,Trade caravan,6120,Items,576.61
10/9/2013,Dual-drive system,Outskirts,Niima Outpost,6467,Items,377.12
10/10/2013,Hyperdrive,Outskirts,Raiders,1353,Items,965.87
10/11/2013,Magnetic turbine,Tuanul,Niima Outpost,1117,Items,31.77
10/12/2013,Magnetic turbine,Tuanul,Raiders,588,Items,31.77
10/13/2013,Atomic drive,Reestki,Raiders,10191,Items,316.5
10/14/2013,Inertial compensator,Outskirts,Trade caravan,1565,Items,1348.04
10/15/2013,Black box,Cratertown,Niima Outpost,224,Items,29.15
10/16/2013,Hyperdrive,Cratertown,Raiders,1334,Items,965.87
10/17/2013,Energy-wave detector,Reestki,Trade caravan,1176,Items,1563.2
10/18/2013,Enviro filter,Outskirts,Raiders,8800,Items,478.76
10/21/2013,Attitude thruster,Outskirts,Raiders,14515,Items,314.23
10/22/2013,Main drive,Blowback Town,Raiders,2921,Items,597.85
10/23/2013,Attitude thruster,Cratertown,Trade caravan,12203,Items,314.23
10/24/2013,Backup hyperdrive,Outskirts,Niima Outpost,6395,Items,2726.24
10/25/2013,Dual-drive system,Cratertown,Trade caravan,12459,Items,377.12
10/26/2013,Electrotelescope,Outskirts,Niima Outpost,3927,Items,849.79
10/27/2013,Backup hyperdrive,Tuanul,Trade caravan,11181,Items,2726.24
10/28/2013,Acceleration compensator,Outskirts,Niima Outpost,1257,Items,843.46
10/29/2013,Enviro filter,Cratertown,Raiders,583,Items,478.76
10/30/2013,Hyperdrive,Reestki,Trade caravan,127,Items,965.87
10/31/2013,Electrotelescope,Tuanul,Raiders,6013,Items,849.79
11/1/2013,Inertial compensator,Reestki,Raiders,11985,Items,1348.04
5/21/2013,Black box,Cratertown,Raiders,1556,Items,29.15
10/19/2013,Dual-drive system,Tuanul,Trade caravan,4149,Items,377.12
10/20/2013,Optical transducer panel,Reestki,Trade caravan,3093,Items,2596.89
4/1/2014,Energy-wave detector,Outskirts,Niima Outpost,441,Items,1563.2
4/2/2014,Optical transducer panel,Blowback Town,Raiders,19,Items,2596.89
4/3/2014,Inertial compensator,Tuanul,Trade caravan,26744,Items,1348.04
4/4/2014,Backup hyperdrive,Cratertown,Raiders,2822,Items,2726.24
4/5/2014,Atmospheric thrusters,Cratertown,Niima Outpost,3237,Items,56.21
4/6/2014,Black box,Blowback Town,Raiders,2874,Items,29.15
12/31/2016,Dual-drive system,Outskirts,Niima Outpost,1390,Items,377.12
10/1/2013,Microthruster,Cratertown,Raiders,5834,Items,506.62
10/2/2013,Atmospheric thrusters,Tuanul,Niima Outpost,8553,Items,56.21
10/3/2013,Carbon-Durasteel Armor,Cratertown,Trade caravan,5381,Items,480.21
10/4/2013,Atmospheric thrusters,Blowback Town,Niima Outpost,2058,Items,56.21
10/5/2013,Atomic drive,Tuanul,Raiders,2215,Items,316.5
10/6/2013,Attitude thruster,Reestki,Raiders,3921,Items,314.23
10/7/2013,Enviro filter,Tuanul,Raiders,4024,Items,478.76
10/8/2013,Full-spectrum transceiver,Reestki,Trade caravan,2130,Items,4041.01
10/9/2013,Microthruster,Cratertown,Niima Outpost,1134,Items,506.62
10/10/2013,Atmospheric processor,Cratertown,Raiders,7216,Items,31.58
10/11/2013,Main drive,Outskirts,Niima Outpost,1276,Items,597.85
10/12/2013,Dual-drive system,Blowback Town,Raiders,3460,Items,377.12
10/13/2013,Black box,Blowback Town,Niima Outpost,3362,Items,29.15
10/14/2013,Hyperdrive,Tuanul,Raiders,5711,Items,965.87
10/15/2013,Backup hyperdrive,Tuanul,Niima Outpost,1447,Items,2726.24
10/16/2013,Hyperdrive,Reestki,Niima Outpost,3459,Items,965.87
10/17/2013,Activation cylinder,Cratertown,Raiders,9072,Items,576.61
10/18/2013,Ion drive,Cratertown,Trade caravan,16863,Items,1168.53
10/21/2013,Magnetic turbine,Cratertown,Niima Outpost,2019,Items,31.77
10/22/2013,Dual-drive system,Tuanul,Trade caravan,1893,Items,377.12
10/23/2013,Enviro filter,Reestki,Niima Outpost,5081,Items,478.76
10/24/2013,Repulsorlift generator,Tuanul,Trade caravan,409,Items,1254.64
10/25/2013,Ion drive,Outskirts,Raiders,2223,Items,1168.53
10/26/2013,Atmospheric thrusters,Cratertown,Niima Outpost,4760,Items,56.21
10/27/2013,Hyperdrive,Cratertown,Raiders,1176,Items,965.87
10/28/2013,Atmospheric thrusters,Reestki,Trade caravan,4907,Items,56.21
10/29/2013,Microthruster,Cratertown,Niima Outpost,796,Items,506.62
10/30/2013,Optical transducer panel,Reestki,Raiders,1162,Items,2596.89
10/31/2013,Attitude thruster,Cratertown,Trade caravan,749,Items,314.23
11/1/2013,Electrotelescope,Blowback Town,Niima Outpost,1917,Items,849.79
5/21/2013,Main drive,Cratertown,Raiders,12578,Items,597.85
10/19/2013,Inertial compensator,Reestki,Trade caravan,774,Items,1348.04
10/20/2013,Electrotelescope,Outskirts,Niima Outpost,6714,Items,849.79
4/1/2014,Antishock field,Cratertown,Trade caravan,4116,Items,1329.05
4/2/2014,Attitude thruster,Cratertown,Raiders,1205,Items,314.23
4/3/2014,Atomic drive,Cratertown,Trade caravan,7637,Items,316.5
4/4/2014,Full-spectrum transceiver,Blowback Town,Raiders,7091,Items,4041.01
4/5/2014,Carbon-Durasteel Armor,Cratertown,Trade caravan,413,Items,480.21
4/6/2014,Atmospheric thrusters,Cratertown,Raiders,11935,Items,56.21
12/31/2016,Optical transducer panel,Reestki,Raiders,1909,Items,2596.89
10/1/2013,Main drive,Tuanul,Trade caravan,924,Items,597.85
10/2/2013,Full-spectrum transceiver,Outskirts,Niima Outpost,2278,Items,4041.01
10/3/2013,Acceleration compensator,Blowback Town,Trade caravan,1145,Items,843.46
10/4/2013,Black box,Outskirts,Niima Outpost,17250,Items,29.15
10/5/2013,Microthruster,Outskirts,Raiders,652,Items,506.62
10/6/2013,Black box,Cratertown,Trade caravan,873,Items,29.15
10/7/2013,Dual-drive system,Reestki,Raiders,1219,Items,377.12
10/8/2013,Atomic drive,Reestki,Raiders,1871,Items,316.5
10/9/2013,Atomic drive,Blowback Town,Trade caravan,3303,Items,316.5
10/10/2013,Main drive,Blowback Town,Niima Outpost,7768,Items,597.85
10/11/2013,Atmospheric processor,Tuanul,Raiders,186,Items,31.58
10/12/2013,Atmospheric processor,Tuanul,Raiders,1515,Items,31.58
10/13/2013,Carbon-Durasteel Armor,Cratertown,Niima Outpost,14900,Items,480.21
10/14/2013,Antishock field,Blowback Town,Raiders,16439,Items,1329.05
10/15/2013,Electrotelescope,Outskirts,Raiders,2548,Items,849.79
10/16/2013,Energy-wave detector,Blowback Town,Trade caravan,218,Items,1563.2
10/17/2013,Atmospheric processor,Reestki,Raiders,17889,Items,31.58
10/18/2013,Energy-wave detector,Tuanul,Trade caravan,1683,Items,1563.2
10/21/2013,Inertial compensator,Reestki,Raiders,3364,Items,1348.04
10/22/2013,Electrotelescope,Reestki,Raiders,3379,Items,849.79
10/23/2013,Atmospheric processor,Blowback Town,Niima Outpost,7371,Items,31.58
10/24/2013,Repulsorlift generator,Reestki,Raiders,2635,Items,1254.64
10/25/2013,Enviro filter,Tuanul,Trade caravan,7860,Items,478.76
10/26/2013,Optical transducer panel,Outskirts,Niima Outpost,452,Items,2596.89
10/27/2013,Antishock field,Tuanul,Raiders,6066,Items,1329.05
10/28/2013,Dual-drive system,Tuanul,Niima Outpost,4519,Items,377.12
10/29/2013,Energy-wave detector,Blowback Town,Raiders,15967,Items,1563.2
10/30/2013,Dual-drive system,Blowback Town,Trade caravan,765,Items,377.12
10/31/2013,Activation cylinder,Outskirts,Niima Outpost,1619,Items,576.61
11/1/2013,Main drive,Reestki,Trade caravan,1479,Items,597.85
5/21/2013,Activation cylinder,Outskirts,Raiders,4898,Items,576.61
10/19/2013,Dual-drive system,Reestki,Niima Outpost,3956,Items,377.12
10/20/2013,Full-spectrum transceiver,Cratertown,Niima Outpost,6777,Items,4041.01
4/1/2014,Activation cylinder,Outskirts,Trade caravan,4039,Items,576.61
4/2/2014,Electrotelescope,Blowback Town,Raiders,12464,Items,849.79
4/3/2014,Inertial compensator,Outskirts,Niima Outpost,6498,Items,1348.04
4/4/2014,Atmospheric thrusters,Reestki,Niima Outpost,144,Items,56.21
4/5/2014,Optical transducer panel,Outskirts,Niima Outpost,7858,Items,2596.89
4/6/2014,Atmospheric processor,Cratertown,Trade caravan,1086,Items,31.58
12/31/2016,Repulsorlift generator,Reestki,Niima Outpost,663,Items,1254.64
4/1/2013,Energy-wave detector,Blowback Town,Trade caravan,29244,Items,1563.2
4/2/2013,Black box,Tuanul,Raiders,773,Items,29.15
4/3/2013,Inertial compensator,Cratertown,Raiders,742,Items,1348.04
4/4/2013,Main drive,Cratertown,Niima Outpost,900,Items,597.85
4/5/2013,Inertial compensator,Cratertown,Raiders,7290,Items,1348.04
4/6/2013,Acceleration compensator,Blowback Town,Niima Outpost,2581,Items,843.46
4/7/2013,Antishock field,Cratertown,Raiders,4071,Items,1329.05
4/8/2013,Optical transducer panel,Blowback Town,Niima Outpost,2826,Items,2596.89
4/9/2013,Backup hyperdrive,Reestki,Raiders,9922,Items,2726.24
4/10/2013,Magnetic turbine,Reestki,Trade caravan,16803,Items,31.77
4/11/2013,Magnetic turbine,Cratertown,Niima Outpost,3801,Items,31.77
4/12/2013,Enviro filter,Reestki,Raiders,564,Items,478.76
4/13/2013,Ion drive,Cratertown,Niima Outpost,1627,Items,1168.53
4/14/2013,Ion drive,Outskirts,Trade caravan,2646,Items,1168.53
4/15/2013,Microthruster,Reestki,Raiders,22374,Items,506.62
4/16/2013,Acceleration compensator,Outskirts,Niima Outpost,3859,Items,843.46
4/17/2013,Ion drive,Cratertown,Raiders,3253,Items,1168.53
4/18/2013,Hyperdrive,Blowback Town,Trade caravan,443,Items,965.87
4/19/2013,Repulsorlift generator,Reestki,Trade caravan,1658,Items,1254.64
4/20/2013,Energy-wave detector,Tuanul,Niima Outpost,2676,Items,1563.2
4/21/2013,Attitude thruster,Cratertown,Trade caravan,6356,Items,314.23
4/22/2013,Main drive,Reestki,Raiders,1968,Items,597.85
4/23/2013,Inertial compensator,Reestki,Raiders,6408,Items,1348.04
4/24/2013,Antishock field,Tuanul,Trade caravan,533,Items,1329.05
4/25/2013,Atomic drive,Blowback Town,Raiders,12958,Items,316.5
4/26/2013,Atmospheric processor,Reestki,Trade caravan,18405,Items,31.58
4/27/2013,Activation cylinder,Blowback Town,Raiders,5826,Items,576.61
4/28/2013,Black box,Cratertown,Raiders,10076,Items,29.15
4/29/2013,Attitude thruster,Blowback Town,Trade caravan,4228,Items,314.23
4/30/2013,Energy-wave detector,Blowback Town,Trade caravan,3409,Items,1563.2
5/1/2013,Atmospheric thrusters,Blowback Town,Raiders,7017,Items,56.21
5/2/2013,Acceleration compensator,Tuanul,Trade caravan,1509,Items,843.46
5/3/2013,Optical transducer panel,Tuanul,Raiders,621,Items,2596.89
5/4/2013,Activation cylinder,Cratertown,Niima Outpost,154,Items,576.61
5/5/2013,Energy-wave detector,Outskirts,Raiders,16847,Items,1563.2
5/6/2013,Activation cylinder,Tuanul,Trade caravan,8034,Items,576.61
5/7/2013,Energy-wave detector,Outskirts,Niima Outpost,13339,Items,1563.2
5/8/2013,Repulsorlift generator,Outskirts,Trade caravan,6215,Items,1254.64
5/9/2013,Electrotelescope,Outskirts,Niima Outpost,1342,Items,849.79
5/10/2013,Dual-drive system,Cratertown,Raiders,2071,Items,377.12
5/11/2013,Optical transducer panel,Blowback Town,Trade caravan,4986,Items,2596.89
5/12/2013,Repulsorlift generator,Cratertown,Niima Outpost,558,Items,1254.64
5/13/2013,Atmospheric thrusters,Tuanul,Niima Outpost,4272,Items,56.21
5/14/2013,Black box,Blowback Town,Raiders,6512,Items,29.15
5/15/2013,Optical transducer panel,Cratertown,Niima Outpost,912,Items,2596.89
5/16/2013,Energy-wave detector,Reestki,Niima Outpost,4973,Items,1563.2
5/17/2013,Atmospheric processor,Outskirts,Raiders,3424,Items,31.58
5/18/2013,Atmospheric processor,Reestki,Raiders,30,Items,31.58
5/19/2013,Dual-drive system,Cratertown,Trade caravan,3563,Items,377.12
5/20/2013,Optical transducer panel,Outskirts,Raiders,2464,Items,2596.89
5/22/2013,Flight recorder,Outskirts,Niima Outpost,887,Tons,590.93
5/23/2013,Proximity sensor,Outskirts,Raiders,7081,Tons,1229.03
4/1/2013,Vitus-Series Attitude Thrusters,Reestki,Raiders,4901,Tons,225.54
4/2/2013,Aural sensor,Tuanul,Raiders,707,Tons,145.27
4/3/2013,Electromagnetic discharge filter,Tuanul,Niima Outpost,107,Tons,188.28
4/4/2013,Proximity sensor,Tuanul,Trade caravan,32109,Tons,1229.03
4/5/2013,Hyperdrive motivator,Tuanul,Trade caravan,862,Tons,1485.28
4/6/2013,Landing jet,Reestki,Niima Outpost,13944,Tons,1496.74
