time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,precipType,precipAccumulation,site_catid
2015-09-11T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,54.05,54.05,41.26,0.62,6.92,349,10,0.31,1023.17,NA,NA,27-137-7001
2015-09-11T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,55.58,55.58,41.18,0.58,6.48,337,10,0.37,1022.87,NA,NA,27-137-7001
2015-09-11T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,57.54,57.54,41.65,0.55,5.44,322,10,0.31,1022.4,NA,NA,27-137-7001
2015-09-11T20:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,58.38,58.38,40.43,0.51,7.38,313,10,0.29,1022.08,NA,NA,27-137-7001
2015-09-11T21:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,58.61,58.61,39.88,0.5,6.66,322,10,0.27,1021.45,NA,NA,27-137-7001
2015-09-11T22:00:00Z,Clear,clear-day,0,0,58.9,58.9,41,0.51,7.1,317,10,0.17,1021,NA,NA,27-137-7001
2015-09-11T23:00:00Z,Clear,clear-day,0.0033,0.11,57.86,57.86,41.09,0.54,5.25,333,10,0.21,1021.07,rain,NA,27-137-7001
2015-09-12T00:00:00Z,Clear,clear-day,0,0,54.53,54.53,43.78,0.67,2.18,319,10,0.11,1021.06,NA,NA,27-137-7001
2015-09-12T01:00:00Z,Clear,clear-night,0,0,50.99,50.99,44.05,0.77,4.66,326,10,0.1,1020.99,NA,NA,27-137-7001
2015-09-12T02:00:00Z,Clear,clear-night,0,0,48.12,46.85,44.29,0.87,3.8,326,10,0.08,1021.36,NA,NA,27-137-7001
2015-09-12T03:00:00Z,Clear,clear-night,0,0,45.64,45.64,42.79,0.9,1.89,329,10,0.03,1021.54,NA,NA,27-137-7001
2015-09-12T04:00:00Z,Clear,clear-night,0,0,43.92,41.27,41.03,0.89,4.73,329,9.12,0.07,1021.49,NA,NA,27-137-7001
2015-09-10T05:00:00Z,Clear,clear-night,0,0,53.18,53.18,48.28,0.83,6,328,10,0.04,1012.86,NA,NA,27-137-7001
2015-09-10T06:00:00Z,Clear,clear-night,0.0033,0.11,51.14,51.14,46.55,0.84,3.05,318,10,0.02,1012.96,rain,NA,27-137-7001
2015-09-10T07:00:00Z,Clear,clear-night,0,0,47.73,46.12,44.66,0.89,4.16,329,10,0,1013.45,NA,NA,27-137-7001
2015-09-10T08:00:00Z,Clear,clear-night,0,0,47.63,45.12,44.18,0.88,5.5,319,9.88,0,1013.62,NA,NA,27-137-7001
2015-09-10T09:00:00Z,Clear,clear-night,0,0,45.95,43.97,43.57,0.91,4.29,321,10,0,1014.07,NA,NA,27-137-7001
2015-09-10T10:00:00Z,Clear,clear-night,0,0,43.68,41.01,41.81,0.93,4.69,308,9.61,0.01,1014.46,NA,NA,27-137-7001
2015-09-10T11:00:00Z,Clear,clear-night,0,0,43.57,43.57,41.11,0.91,2.88,323,9.69,0.01,1014.91,NA,NA,27-137-7001
2015-09-10T12:00:00Z,Clear,clear-day,0,0,43.7,41.31,41.37,0.91,4.35,331,9.61,0.03,1015.59,NA,NA,27-137-7001
2015-09-10T13:00:00Z,Clear,clear-day,0,0,48.41,45.65,45.11,0.88,6.23,322,10,0.03,1016.04,NA,NA,27-137-7001
2015-09-10T14:00:00Z,Clear,clear-day,0,0,52.38,52.38,46.3,0.8,6.91,328,10,0.06,1016.23,NA,NA,27-137-7001
2015-09-10T15:00:00Z,Clear,clear-day,0,0,55.66,55.66,45.98,0.7,7.48,329,10,0.14,1016.57,NA,NA,27-137-7001
2015-09-10T16:00:00Z,Clear,clear-day,0,0,57.53,57.53,45.38,0.64,9.17,316,10,0.24,1016.67,NA,NA,27-137-7001
2015-09-10T17:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,58.1,58.1,44.51,0.61,7.66,328,10,0.31,1016.32,NA,NA,27-137-7001
2015-09-10T18:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,58.81,58.81,44.42,0.59,8.8,319,10,0.41,1016.34,NA,NA,27-137-7001
2015-09-10T19:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,59.53,59.53,44.32,0.57,8.08,321,10,0.31,1016.51,NA,NA,27-137-7001
2015-09-10T20:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,59.68,59.68,44.42,0.57,8.2,312,10,0.31,1016.51,NA,NA,27-137-7001
2015-09-10T21:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,59.59,59.59,44.42,0.57,8.82,309,10,0.31,1016.58,NA,NA,27-137-7001
2015-09-10T22:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,59.88,59.88,45.18,0.58,9.42,313,10,0.31,1016.64,NA,NA,27-137-7001
2015-09-10T23:00:00Z,Clear,clear-day,0,0,57.24,57.24,46.18,0.66,7.91,319,10,0.13,1017.03,NA,NA,27-137-7001
2015-09-11T00:00:00Z,Clear,clear-day,0.0033,0.11,55.32,55.32,45.76,0.7,6.4,321,10,0.1,1017.64,rain,NA,27-137-7001
2015-09-11T01:00:00Z,Clear,clear-night,0,0,52.74,52.74,45.79,0.77,7.42,311,10,0.23,1018.18,NA,NA,27-137-7001
2015-09-11T02:00:00Z,Clear,clear-night,0,0,51.6,51.6,45.37,0.79,6.16,313,10,0.02,1018.72,NA,NA,27-137-7001
2015-09-11T03:00:00Z,Clear,clear-night,0,0,50.63,50.63,45.38,0.82,4.98,316,10,0.23,1019.06,NA,NA,27-137-7001
2015-09-11T04:00:00Z,Clear,clear-night,0,0,48.67,46.47,44.67,0.86,5.3,319,10,0.14,1019.51,NA,NA,27-137-7001
2015-09-09T05:00:00Z,Clear,clear-night,0,0,48.24,46.15,45.08,0.89,5.01,235,10,0.08,1012.98,NA,NA,27-137-7001
2015-09-09T06:00:00Z,Clear,clear-night,0,0,47.78,45.83,45.14,0.91,4.67,241,10,0.01,1012.8,NA,NA,27-137-7001
2015-09-09T07:00:00Z,Clear,clear-night,0.0033,0.11,49.99,48.33,45.32,0.84,4.8,261,10,0.02,1012.67,rain,NA,27-137-7001
2015-09-09T08:00:00Z,Clear,clear-night,0.0033,0.11,48.59,46.44,45.24,0.88,5.2,250,9.65,0.05,1012.92,rain,NA,27-137-7001
2015-09-09T09:00:00Z,Clear,clear-night,0,0,48.31,47.49,44.43,0.86,3.3,241,9.69,0.2,1013.01,NA,NA,27-137-7001
2015-09-09T10:00:00Z,Clear,clear-night,0,0,47.69,45.47,44.27,0.88,5.06,242,9.8,0.2,1013.01,NA,NA,27-137-7001
2015-09-09T11:00:00Z,Clear,clear-night,0,0,46.78,43.89,44.29,0.91,5.91,231,9.18,0.08,1013.09,NA,NA,27-137-7001
2015-09-09T12:00:00Z,Clear,clear-day,0,0,47.65,47.65,44.86,0.9,2.53,243,8.77,0.23,1013.46,NA,NA,27-137-7001
2015-09-09T13:00:00Z,Clear,clear-day,0,0,51.72,51.72,47.17,0.84,4.98,233,10,0.03,1013.55,NA,NA,27-137-7001
2015-09-09T14:00:00Z,Clear,clear-day,0,0,56.61,56.61,48.32,0.74,6.5,251,10,0.04,1013.5,NA,NA,27-137-7001
2015-09-09T15:00:00Z,Clear,clear-day,0,0,62.07,62.07,49.32,0.63,6.79,260,10,0.01,1013.46,NA,NA,27-137-7001
2015-09-09T16:00:00Z,Clear,clear-day,0.0033,0.11,65.16,65.16,47.16,0.52,8.32,283,10,0.01,1013.19,rain,NA,27-137-7001
2015-09-09T17:00:00Z,Clear,clear-day,0,0,67.25,67.25,45.2,0.45,9.93,284,10,0.03,1012.87,NA,NA,27-137-7001
2015-09-09T18:00:00Z,Clear,clear-day,0,0,68.52,68.52,44.68,0.42,11.01,286,10,0.01,1012.6,NA,NA,27-137-7001
2015-09-09T19:00:00Z,Clear,clear-day,0,0,68.83,68.83,43.77,0.4,9.78,280,10,0.08,1012.39,NA,NA,27-137-7001
2015-09-09T20:00:00Z,Clear,clear-day,0,0,67.64,67.64,45.34,0.45,8.21,273,10,0.08,1012.14,NA,NA,27-137-7001
2015-09-09T21:00:00Z,Clear,clear-day,0,0,66.39,66.39,47.16,0.5,6.11,268,10,0.14,1011.9,NA,NA,27-137-7001
2015-09-09T22:00:00Z,Clear,clear-day,0,0,65.43,65.43,48.6,0.55,5.88,247,10,0.13,1011.76,NA,NA,27-137-7001
2015-09-09T23:00:00Z,Clear,clear-day,0.0033,0.11,64.24,64.24,48.52,0.57,5.17,254,10,0.15,1011.71,rain,NA,27-137-7001
2015-09-10T00:00:00Z,Clear,clear-day,0.0033,0.11,61.87,61.87,50.54,0.66,2.5,252,10,0.24,1011.81,rain,NA,27-137-7001
2015-09-10T01:00:00Z,Clear,clear-night,0,0,58.57,58.57,50.18,0.74,3.46,255,10,0.24,1012.01,NA,NA,27-137-7001
2015-09-10T02:00:00Z,Clear,clear-night,0,0,56.65,56.65,50.6,0.8,4.04,237,10,0.21,1012.31,NA,NA,27-137-7001
2015-09-10T03:00:00Z,Clear,clear-night,0,0,54.44,54.44,49.48,0.83,1.71,254,10,0.04,1012.52,NA,NA,27-137-7001
2015-09-10T04:00:00Z,Clear,clear-night,0.0031,0.1,53.02,53.02,48.63,0.85,3.54,289,10,0.07,1012.71,rain,NA,27-137-7001
2015-09-08T05:00:00Z,Clear,clear-night,0,0,54.2,54.2,52.12,0.93,2.05,7,9.68,0.09,1014.67,NA,NA,27-137-7001
2015-09-08T06:00:00Z,Clear,clear-night,0,0,53.67,53.67,51.43,0.92,3.35,26,9.64,0.12,1014.81,NA,NA,27-137-7001
2015-09-08T07:00:00Z,Clear,clear-night,0.0033,0.11,53.36,53.36,51.51,0.93,1.92,344,9.87,0.23,1014.96,rain,NA,27-137-7001
2015-09-08T08:00:00Z,Clear,clear-night,0,0,53.36,53.36,51.68,0.94,3.97,335,9.46,0.12,1014.42,NA,NA,27-137-7001
2015-09-08T09:00:00Z,Clear,clear-night,0,0,52.81,52.81,51.34,0.95,1.21,341,9.23,0.23,1013.69,NA,NA,27-137-7001
2015-09-08T10:00:00Z,Clear,clear-night,0,0,53.21,53.21,51.65,0.94,0.27,35,10,0.13,1013.18,NA,NA,27-137-7001
2015-09-08T11:00:00Z,Partly Cloudy,partly-cloudy-night,0.0033,0.11,53.19,53.19,51.71,0.95,2.17,143,10,0.26,1013.06,rain,NA,27-137-7001
2015-09-08T12:00:00Z,Clear,clear-day,0,0,53.52,53.52,51.69,0.94,2.2,351,9.8,0.22,1012.75,NA,NA,27-137-7001
2015-09-08T13:00:00Z,Clear,clear-day,0,0,55.31,55.31,53.42,0.93,0.7,303,10,0.15,1012.34,NA,NA,27-137-7001
2015-09-08T14:00:00Z,Clear,clear-day,0,0,58.78,58.78,54.81,0.87,3.38,276,10,0.23,1012.27,NA,NA,27-137-7001
2015-09-08T15:00:00Z,Clear,clear-day,0.0033,0.11,63.83,63.83,55.39,0.74,5.1,258,9.91,0.09,1012.14,rain,NA,27-137-7001
2015-09-08T16:00:00Z,Clear,clear-day,0,0,66.83,66.83,54.86,0.65,7.95,284,10,0.08,1012.03,NA,NA,27-137-7001
2015-09-08T17:00:00Z,Clear,clear-day,0,0,69.79,69.79,53.19,0.56,9.57,288,10,0.13,1011.69,NA,NA,27-137-7001
2015-09-08T18:00:00Z,Clear,clear-day,0,0,70.83,70.83,50.01,0.48,10.87,283,10,0.17,1011.51,NA,NA,27-137-7001
2015-09-08T19:00:00Z,Clear,clear-day,0.0033,0.11,71.69,71.69,46.59,0.41,12.04,283,10,0.11,1011.23,rain,NA,27-137-7001
2015-09-08T20:00:00Z,Clear,clear-day,0,0,70.8,70.8,45.37,0.4,15.15,287,9.77,0.1,1011.05,NA,NA,27-137-7001
2015-09-08T21:00:00Z,Clear,clear-day,0,0,69.68,69.68,41.9,0.37,13.95,275,10,0.04,1010.82,NA,NA,27-137-7001
2015-09-08T22:00:00Z,Clear,clear-day,0,0,68.84,68.84,40.24,0.35,13.34,284,10,0.01,1010.9,NA,NA,27-137-7001
2015-09-08T23:00:00Z,Clear,clear-day,0,0,66.14,66.14,39.54,0.38,10.96,282,10,0.01,1011.18,NA,NA,27-137-7001
2015-09-09T00:00:00Z,Clear,clear-day,0.0033,0.11,63.25,63.25,41.46,0.45,6.31,277,10,0,1011.75,rain,NA,27-137-7001
2015-09-09T01:00:00Z,Clear,clear-night,0,0,56.61,56.61,44.8,0.65,2.44,276,10,0,1012.27,NA,NA,27-137-7001
2015-09-09T02:00:00Z,Clear,clear-night,0,0,51.92,51.92,46.01,0.8,3.34,264,10,0,1013.05,NA,NA,27-137-7001
2015-09-09T03:00:00Z,Clear,clear-night,0,0,49.59,48.23,45.15,0.85,4.23,225,10,0.03,1013.04,NA,NA,27-137-7001
2015-09-09T04:00:00Z,Clear,clear-night,0,0,48.86,46.43,45.02,0.87,5.78,234,10,0.05,1013.09,NA,NA,27-137-7001
2015-09-07T05:00:00Z,Clear,clear-night,0.0033,0.11,65.66,65.66,64.21,0.95,4.22,303,8.84,0.23,1011.69,rain,NA,27-137-7001
2015-09-07T06:00:00Z,Partly Cloudy,partly-cloudy-night,0.0033,0.11,65.37,65.37,64.24,0.96,2.86,274,9.64,0.3,1012.24,rain,NA,27-137-7001
2015-09-07T07:00:00Z,Clear,clear-night,0.0033,0.11,65.3,65.3,63.46,0.94,4.78,284,9.72,0.22,1012.93,rain,NA,27-137-7001
2015-09-07T08:00:00Z,Drizzle,rain,0.007,0.34,64.32,64.32,61.59,0.91,6.9,295,9.71,0.21,1013,rain,NA,27-137-7001
2015-09-07T09:00:00Z,Drizzle,rain,0.007,0.34,63.24,63.24,59.38,0.87,6.6,309,10,0.04,1013.37,rain,NA,27-137-7001
2015-09-07T10:00:00Z,Clear,clear-night,0,0,60.63,60.63,56.8,0.87,5.22,313,9.76,0.04,1013.82,NA,NA,27-137-7001
2015-09-07T11:00:00Z,Clear,clear-night,0.0037,0.13,58.84,58.84,55.18,0.88,5.28,316,9.47,0.05,1014.62,rain,NA,27-137-7001
2015-09-07T12:00:00Z,Clear,clear-day,0.0033,0.11,57.01,57.01,53.46,0.88,4.51,321,9.34,0.03,1015.27,rain,NA,27-137-7001
2015-09-07T13:00:00Z,Clear,clear-day,0.0033,0.11,59.79,59.79,54.6,0.83,3.21,321,10,0.03,1015.88,rain,NA,27-137-7001
2015-09-07T14:00:00Z,Clear,clear-day,0.0033,0.11,63.79,63.79,54.25,0.71,4.36,332,10,0.04,1016.49,rain,NA,27-137-7001
2015-09-07T15:00:00Z,Clear,clear-day,0.0033,0.11,65.66,65.66,52.66,0.63,4.35,342,10,0.01,1016.76,rain,NA,27-137-7001
2015-09-07T16:00:00Z,Clear,clear-day,0.0033,0.11,68.57,68.57,50.03,0.52,3.28,15,10,0.01,1016.73,rain,NA,27-137-7001
2015-09-07T17:00:00Z,Drizzle,rain,0.0066,0.31,70.05,70.05,48.96,0.47,2.54,19,10,0.01,1016.51,rain,NA,27-137-7001
2015-09-07T18:00:00Z,Clear,clear-day,0.0033,0.11,71.98,71.98,49.03,0.44,2.39,21,10,0,1015.81,rain,NA,27-137-7001
2015-09-07T19:00:00Z,Clear,clear-day,0.0033,0.11,72.67,72.67,47.9,0.41,0.5,26,10,0,1016.08,rain,NA,27-137-7001
2015-09-07T20:00:00Z,Drizzle,rain,0.0066,0.31,73.09,73.09,47.8,0.41,0.38,71,10,0,1015.56,rain,NA,27-137-7001
2015-09-07T21:00:00Z,Clear,clear-day,0.0033,0.11,72.4,72.4,49.53,0.44,0.82,184,10,0,1015.26,rain,NA,27-137-7001
2015-09-07T22:00:00Z,Clear,clear-day,0.0033,0.11,70.99,70.99,52.99,0.53,3.44,271,10,0.07,1015.57,rain,NA,27-137-7001
2015-09-07T23:00:00Z,Clear,clear-day,0,0,67.88,67.88,54.46,0.62,3.7,280,9.83,0.21,1016.55,NA,NA,27-137-7001
2015-09-08T00:00:00Z,Partly Cloudy,partly-cloudy-day,0.0033,0.11,64.43,64.43,55.13,0.72,3,111,10,0.32,1016.39,rain,NA,27-137-7001
2015-09-08T01:00:00Z,Clear,clear-night,0,0,61.88,61.88,54.66,0.77,2.26,38,10,0.1,1015.77,NA,NA,27-137-7001
2015-09-08T02:00:00Z,Clear,clear-night,0,0,59.85,59.85,53.85,0.81,3.02,80,9.79,0.1,1015.36,NA,NA,27-137-7001
2015-09-08T03:00:00Z,Clear,clear-night,0,0,57.94,57.94,53.88,0.86,4.17,55,9.88,0.09,1014.59,NA,NA,27-137-7001
2015-09-08T04:00:00Z,Clear,clear-night,0.0033,0.11,56.98,56.98,53.33,0.88,0.65,7,9.6,0.11,1014.38,rain,NA,27-137-7001
2015-09-06T05:00:00Z,Rain,rain,0.0682,0.76,69.07,69.07,67.16,0.94,2.92,163,7.7,0.31,1011.35,rain,NA,27-137-7001
2015-09-06T06:00:00Z,Light Rain,rain,0.0207,0.61,68.28,68.28,66.27,0.93,4.82,127,8.68,0.35,1010.27,rain,NA,27-137-7001
2015-09-06T07:00:00Z,Light Rain,rain,0.0297,0.66,67.85,67.85,66.31,0.95,6.49,124,8.53,0.31,1008.7,rain,NA,27-137-7001
2015-09-06T08:00:00Z,Rain,rain,0.0899,0.79,68.08,68.08,66.62,0.95,6.57,138,6.45,0.31,1009.03,rain,NA,27-137-7001
2015-09-06T09:00:00Z,Light Rain,rain,0.0351,0.68,67.31,67.31,64.47,0.91,4.71,176,7.98,0,1008.43,rain,NA,27-137-7001
2015-09-06T10:00:00Z,Rain,rain,0.0696,0.76,67.02,67.02,65.02,0.93,3.36,191,8.87,0.21,1009.14,rain,NA,27-137-7001
2015-09-06T11:00:00Z,Light Rain,rain,0.0223,0.62,67.87,67.87,65.69,0.93,5.39,190,9.39,0.2,1009.11,rain,NA,27-137-7001
2015-09-06T12:00:00Z,Rain,rain,0.0633,0.75,67.76,67.76,66.59,0.96,2.53,173,7.4,0.42,1009.11,rain,NA,27-137-7001
2015-09-06T13:00:00Z,Light Rain,rain,0.0201,0.61,68.6,68.6,66.84,0.94,3.32,174,8.75,0.26,1008.78,rain,NA,27-137-7001
2015-09-06T14:00:00Z,Partly Cloudy,partly-cloudy-day,0.0033,0.11,70.44,70.44,68.68,0.94,4.82,202,9.2,0.26,1008.88,rain,NA,27-137-7001
2015-09-06T15:00:00Z,Partly Cloudy,partly-cloudy-day,0.0033,0.11,72.06,72.06,69.91,0.93,6.06,210,10,0.31,1008.88,rain,NA,27-137-7001
2015-09-06T16:00:00Z,Partly Cloudy,partly-cloudy-day,0.0038,0.14,73.98,73.98,70.93,0.9,6.24,221,10,0.31,1009.24,rain,NA,27-137-7001
2015-09-06T17:00:00Z,Clear,clear-day,0.0033,0.11,75.73,75.73,71.57,0.87,7.69,223,10,0.16,1009.26,rain,NA,27-137-7001
2015-09-06T18:00:00Z,Partly Cloudy,partly-cloudy-day,0.0033,0.11,78.04,78.04,71.94,0.82,5.9,229,10,0.3,1009.05,rain,NA,27-137-7001
2015-09-06T19:00:00Z,Clear,clear-day,0.0033,0.11,80.34,84.14,71.49,0.75,5.95,238,10,0.22,1008.74,rain,NA,27-137-7001
2015-09-06T20:00:00Z,Partly Cloudy,partly-cloudy-day,0.0033,0.11,80.96,85.24,71.89,0.74,6.1,220,10,0.25,1008.19,rain,NA,27-137-7001
2015-09-06T21:00:00Z,Drizzle,rain,0.0066,0.31,80.49,84.41,71.57,0.74,5.06,235,10,0.26,1008.42,rain,NA,27-137-7001
2015-09-06T22:00:00Z,Drizzle,rain,0.0078,0.39,77.09,77.09,69.42,0.77,5.28,297,9.75,0.28,1008.45,rain,NA,27-137-7001
2015-09-06T23:00:00Z,Light Rain,rain,0.0431,0.71,71.96,71.96,67.38,0.86,2.3,358,9.88,0.17,1008.73,rain,NA,27-137-7001
2015-09-07T00:00:00Z,Drizzle,rain,0.009,0.48,70.58,70.58,67.29,0.89,1.08,222,9.29,0.06,1009.36,rain,NA,27-137-7001
2015-09-07T01:00:00Z,Light Rain,rain,0.0219,0.62,68.09,68.09,65.09,0.9,1.07,358,9.1,0.12,1009.96,rain,NA,27-137-7001
2015-09-07T02:00:00Z,Light Rain,rain,0.0192,0.6,67.72,67.72,65.74,0.93,2.91,321,9.46,0.08,1009.26,rain,NA,27-137-7001
2015-09-07T03:00:00Z,Drizzle,rain,0.005,0.21,66.47,66.47,65.09,0.95,1.7,278,9.3,0.07,1010.4,rain,NA,27-137-7001
2015-09-07T04:00:00Z,Drizzle,rain,0.0066,0.31,65.79,65.79,64.43,0.95,3.13,301,10,0.13,1011.13,rain,NA,27-137-7001
2015-09-05T05:00:00Z,Rain,rain,0.1524,0.83,64.68,64.68,61.72,0.9,2,78,7.86,0.24,1015.21,rain,NA,27-137-7001
2015-09-05T06:00:00Z,Rain,rain,0.177,0.85,64.15,64.15,62.44,0.94,3.45,66,7.07,0.2,1015.25,rain,NA,27-137-7001
2015-09-05T07:00:00Z,Light Rain,rain,0.0242,0.63,63.91,63.91,62.59,0.96,4.41,119,9.71,0.24,1014.83,rain,NA,27-137-7001
2015-09-05T08:00:00Z,Light Rain,rain,0.0203,0.61,64.46,64.46,62.93,0.95,2.62,109,9.6,0.31,1015.17,rain,NA,27-137-7001
2015-09-05T09:00:00Z,Drizzle,rain,0.0084,0.44,64.87,64.87,63.52,0.95,4.08,109,9.33,0.21,1015.15,rain,NA,27-137-7001
2015-09-05T10:00:00Z,Partly Cloudy,partly-cloudy-night,0.0042,0.16,64.98,64.98,63.41,0.95,4.74,131,9.33,0.31,1015.18,rain,NA,27-137-7001
2015-09-05T11:00:00Z,Clear,clear-night,0,0,64.86,64.86,63.62,0.96,4.01,134,8.54,0.17,1015.11,NA,NA,27-137-7001
2015-09-05T12:00:00Z,Drizzle,rain,0.006,0.27,65.75,65.75,63.71,0.93,1.8,111,7.42,0.1,1015.03,rain,NA,27-137-7001
2015-09-05T13:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,67.28,67.28,65.41,0.94,2.84,109,9.05,0.26,1015.04,NA,NA,27-137-7001
2015-09-05T14:00:00Z,Clear,clear-day,0.0033,0.11,70.21,70.21,67.28,0.9,4.54,133,9.69,0.18,1014.72,rain,NA,27-137-7001
2015-09-05T15:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,71.85,71.85,67.2,0.85,5.02,139,9.88,0.26,1014.65,NA,NA,27-137-7001
2015-09-05T16:00:00Z,Clear,clear-day,0,0,74.54,74.54,68.54,0.82,5.44,140,10,0.24,1014.54,NA,NA,27-137-7001
2015-09-05T17:00:00Z,Clear,clear-day,0,0,76.65,76.65,69.25,0.78,6.52,131,10,0.23,1013.82,NA,NA,27-137-7001
2015-09-05T18:00:00Z,Clear,clear-day,0,0,78.57,78.57,69.13,0.73,6.43,148,10,0.12,1013.3,NA,NA,27-137-7001
2015-09-05T19:00:00Z,Clear,clear-day,0,0,79.27,79.27,68.73,0.7,5.87,134,9.71,0.08,1012.5,NA,NA,27-137-7001
2015-09-05T20:00:00Z,Clear,clear-day,0,0,79.91,79.91,68.93,0.69,6.32,140,9.82,0.18,1012.11,NA,NA,27-137-7001
2015-09-05T21:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,79.33,79.33,68.69,0.7,6.36,148,10,0.27,1011.84,NA,NA,27-137-7001
2015-09-05T22:00:00Z,Clear,clear-day,0,0,78.19,78.19,68.94,0.73,6.05,133,10,0.1,1011.64,NA,NA,27-137-7001
2015-09-05T23:00:00Z,Clear,clear-day,0,0,76.68,76.68,69.28,0.78,5.41,125,9.79,0.14,1011.62,NA,NA,27-137-7001
2015-09-06T00:00:00Z,Clear,clear-day,0,0,74.8,74.8,68.9,0.82,4.72,118,9.48,0.1,1011.4,NA,NA,27-137-7001
2015-09-06T01:00:00Z,Clear,clear-night,0,0,72.68,72.68,68.48,0.87,3.25,111,9.23,0.24,1011.53,NA,NA,27-137-7001
2015-09-06T02:00:00Z,Clear,clear-night,0.004,0.15,71.59,71.59,68.18,0.89,5.15,130,8.64,0.23,1011.33,rain,NA,27-137-7001
2015-09-06T03:00:00Z,Rain,rain,0.1129,0.81,70.59,70.59,67.14,0.89,5.5,158,7.83,0.12,1011.61,rain,NA,27-137-7001
2015-09-06T04:00:00Z,Light Rain,rain,0.022,0.62,69.29,69.29,66.75,0.92,5.34,183,7.56,0.22,1011.99,rain,NA,27-137-7001
2015-09-04T05:00:00Z,Clear,clear-night,0,0,57.08,57.08,51.83,0.83,3.94,83,10,0,1015.48,NA,NA,27-137-7001
2015-09-04T06:00:00Z,Clear,clear-night,0,0,56.26,56.26,52.01,0.86,2.13,81,10,0,1015.37,NA,NA,27-137-7001
2015-09-04T07:00:00Z,Clear,clear-night,0,0,55.79,55.79,52.74,0.89,3.69,78,10,0,1015.56,NA,NA,27-137-7001
2015-09-04T08:00:00Z,Clear,clear-night,0,0,55.02,55.02,52.46,0.91,4.26,81,10,0.03,1015.68,NA,NA,27-137-7001
2015-09-04T09:00:00Z,Clear,clear-night,0,0,55.67,55.67,53.85,0.94,3.75,94,9.69,0.01,1015.47,NA,NA,27-137-7001
2015-09-04T10:00:00Z,Clear,clear-night,0,0,57.53,57.53,55.25,0.92,3.16,82,8.85,0.07,1015.41,NA,NA,27-137-7001
2015-09-04T11:00:00Z,Clear,clear-night,0,0,58.14,58.14,56.11,0.93,4.58,94,8.48,0.1,1015.46,NA,NA,27-137-7001
2015-09-04T12:00:00Z,Clear,clear-day,0,0,60.12,60.12,58.27,0.94,5.72,101,9.06,0.22,1015.62,NA,NA,27-137-7001
2015-09-04T13:00:00Z,Clear,clear-day,0,0,63.56,63.56,61.29,0.92,5.26,119,9.96,0.17,1015.84,NA,NA,27-137-7001
