date,hour,ws,wd,site
2015-10-30,5,3.63,306,27-017-7417
2015-10-31,20,6.6,201,27-017-7417
2015-10-31,21,8.87,197,27-017-7417
2015-11-01,14,9.16,252,27-017-7417
2015-11-01,15,9.41,259,27-017-7417
2015-11-01,22,3.23,157,27-017-7417
2015-11-01,23,4.76,151,27-017-7417
2015-11-02,8,4.07,31,27-017-7417
2015-11-06,2,14.26,254,27-017-7417
2015-11-06,3,13.74,269,27-017-7417
2015-11-06,8,13.66,289,27-017-7417
2015-11-06,9,10.94,274,27-017-7417
2015-11-06,10,10.85,280,27-017-7417
2015-11-06,11,10.28,280,27-017-7417
2015-11-18,12,8.76,94,27-017-7417
2015-11-20,5,16.93,263,27-017-7417
2015-11-21,7,5.28,293,27-017-7417
2015-11-21,8,3.83,283,27-017-7417
2015-11-21,10,5.32,293,27-017-7417
2015-11-21,16,6.93,292,27-017-7417
2015-11-22,0,2.82,291,27-017-7417
2015-11-22,1,2.5,290,27-017-7417
2015-11-22,2,2.01,258,27-017-7417
2015-11-23,16,6.95,272,27-017-7417
2015-11-23,17,8.16,283,27-017-7417
2015-11-27,5,12.04,341,27-017-7417
2015-11-27,8,9.74,334,27-017-7417
2015-12-01,17,3.76,89,27-017-7417
2015-12-03,4,5.46,290,27-017-7417
2015-12-11,3,8.87,285,27-017-7417
2015-12-11,7,8.04,300,27-017-7417
2015-12-11,10,8.79,321,27-017-7417
2015-12-12,2,5.6,94,27-017-7417
2015-12-12,3,5.01,91,27-017-7417
2015-12-12,6,8.54,91,27-017-7417
2015-12-12,7,7.86,83,27-017-7417
2015-12-13,14,13.6,68,27-017-7417
2015-12-13,15,9.2,65,27-017-7417
2015-12-13,17,9.42,40,27-017-7417
2015-12-14,0,13.17,40,27-017-7417
2015-12-14,3,9.98,30,27-017-7417
2015-12-14,4,13.06,39,27-017-7417
2015-12-14,20,15.51,354,27-017-7417
2015-12-16,4,10.7,89,27-017-7417
2015-12-16,5,13.77,90,27-017-7417
2015-12-16,7,10.86,101,27-017-7417
2015-12-17,6,16.99,263,27-017-7417
2015-12-18,4,7.86,252,27-017-7417
2015-12-18,8,8.48,245,27-017-7417
2015-12-30,3,4.6,334,27-017-7417
2015-01-16,1,6.97,318,27-137-7001
2015-01-30,6,5.91,327,27-137-7001
2015-02-25,2,6.29,318,27-137-7001
2015-03-23,15,6.8,137,27-137-7001
2015-03-27,0,8.93,348,27-137-7001
2015-04-15,0,4.78,163,27-137-7001
2015-04-23,22,7.17,298,27-137-7001
2015-04-23,23,7.23,300,27-137-7001
2015-04-26,0,6.53,109,27-137-7001
2015-04-26,1,3.66,102,27-137-7001
2015-04-30,17,5.13,137,27-137-7001
2015-05-01,0,7.72,139,27-137-7001
2015-05-01,1,6.69,140,27-137-7001
2015-05-01,13,3.05,184,27-137-7001
2015-05-04,18,6.61,327,27-137-7001
2015-05-04,19,5.58,336,27-137-7001
2015-05-04,21,5.3,350,27-137-7001
2015-05-10,15,13.54,76,27-137-7001
2015-05-10,16,15.01,70,27-137-7001
2015-05-10,17,12.87,82,27-137-7001
2015-05-12,6,5.19,341,27-137-7001
2015-05-16,0,2.99,296,27-137-7001
2015-05-22,19,2.07,218,27-137-7001
2015-05-23,15,8.58,240,27-137-7001
2015-05-30,18,6.56,42,27-137-7001
2015-05-31,17,6.45,99,27-137-7001
2015-05-31,20,8.92,108,27-137-7001
2015-05-31,21,8.39,106,27-137-7001
2015-06-16,8,5.17,329,27-137-7001
2015-06-19,0,4.23,335,27-137-7001
2015-06-27,23,7.95,214,27-137-7001
2015-06-28,9,1.38,189,27-137-7001
2015-07-06,22,9.03,323,27-137-7001
2015-07-06,23,9.92,323,27-137-7001
2015-07-15,11,3.09,131,27-137-7001
2015-07-20,18,12.24,309,27-137-7001
2015-07-26,19,3.71,239,27-137-7001
2015-08-03,18,9.99,292,27-137-7001
2015-08-04,17,7.72,315,27-137-7001
2015-08-05,21,2.25,116,27-137-7001
2015-08-09,8,0.76,88,27-137-7001
2015-08-17,16,6.6,320,27-137-7001
2015-08-18,23,8.93,60,27-137-7001
2015-08-20,0,9.19,341,27-137-7001
2015-08-20,6,8.87,326,27-137-7001
2015-08-20,7,8.14,327,27-137-7001
2015-08-20,20,9.79,316,27-137-7001
2015-08-20,22,7.65,320,27-137-7001
2015-08-20,23,3.77,313,27-137-7001
2015-08-21,0,0.9,260,27-137-7001
2015-08-23,16,12.94,232,27-137-7001
2015-08-24,6,16.82,291,27-137-7001
2015-08-24,19,15.52,311,27-137-7001
2015-08-26,20,1.07,23,27-137-7001
2015-09-06,12,2.53,173,27-137-7001
2015-09-06,13,3.32,174,27-137-7001
2015-09-07,17,2.54,19,27-137-7001
2015-09-07,18,2.39,21,27-137-7001
2015-09-07,19,0.5,26,27-137-7001
2015-09-07,20,0.38,71,27-137-7001
2015-09-07,21,0.82,184,27-137-7001
2015-09-09,21,6.11,268,27-137-7001
2015-09-10,16,9.17,316,27-137-7001
2015-09-10,19,8.08,321,27-137-7001
2015-09-10,22,9.42,313,27-137-7001
2015-09-11,8,3.63,324,27-137-7001
2015-09-11,9,4.88,323,27-137-7001
2015-09-11,16,7.23,348,27-137-7001
2015-09-11,17,6.92,349,27-137-7001
2014-04-03,3,3.6,73,27-137-7001
2014-07-01,22,11.54,309,27-137-7001
2014-07-09,19,5.63,322,27-137-7001
2014-07-29,14,7.01,300,27-137-7001
2014-07-29,15,8.33,310,27-137-7001
2014-08-18,13,3.85,94,27-137-7001
2014-08-18,19,2.98,103,27-137-7001
2014-08-19,13,1.69,318,27-137-7001
2014-08-19,16,3.85,339,27-137-7001
2014-08-25,16,16.71,216,27-137-7001
2014-08-25,17,16.07,232,27-137-7001
2014-08-25,18,15.68,240,27-137-7001
2014-08-25,19,15.7,253,27-137-7001
2014-08-26,13,9.97,278,27-137-7001
2014-08-26,16,9.74,302,27-137-7001
2014-08-26,17,8.51,288,27-137-7001
2014-08-26,21,9.65,286,27-137-7001
2014-08-27,3,3.14,304,27-137-7001
2014-08-27,4,1.73,331,27-137-7001
2014-09-02,23,2.52,183,27-137-7001
2014-09-03,6,0.89,220,27-137-7001
2014-09-04,23,1.35,162,27-137-7001
2014-09-05,9,13.94,277,27-137-7001
2014-09-05,10,11.33,287,27-137-7001
2014-09-05,13,10.54,304,27-137-7001
2014-09-05,18,10.62,313,27-137-7001
2014-09-05,19,12.18,316,27-137-7001
2014-09-05,20,11.61,300,27-137-7001
2014-09-05,21,10.47,295,27-137-7001
2014-09-05,22,9.57,285,27-137-7001
2014-09-06,16,9.12,285,27-137-7001
2014-09-06,20,9.79,267,27-137-7001
2014-09-10,8,10.68,44,27-137-7001
2014-09-11,22,5.57,335,27-137-7001
2014-09-14,23,6.51,283,27-137-7001
2014-09-15,0,4.14,255,27-137-7001
2014-09-21,18,8.01,337,27-137-7001
2014-09-29,4,7.94,44,27-137-7001
2014-09-29,5,7.91,34,27-137-7001
2014-09-29,11,6.64,50,27-137-7001
2014-09-29,12,7.08,48,27-137-7001
2014-09-30,4,4.48,103,27-137-7001
2014-09-30,12,6.38,118,27-137-7001
2014-09-30,23,8.04,107,27-137-7001
2014-10-01,19,7.04,156,27-137-7001
2014-10-03,15,15.57,303,27-137-7001
2014-10-03,20,13.73,281,27-137-7001
2014-10-03,23,14.16,286,27-137-7001
2014-10-04,0,13.13,290,27-137-7001
2014-10-07,23,11.1,284,27-137-7001
2014-10-08,7,6.78,285,27-137-7001
2014-10-08,14,13.4,300,27-137-7001
2014-10-16,8,1.8,134,27-137-7001
2014-10-16,16,9.53,135,27-137-7001
2014-10-16,17,11.25,128,27-137-7001
2014-10-16,18,10.83,125,27-137-7001
2014-10-17,1,6.18,90,27-137-7001
2014-10-18,4,9.68,356,27-137-7001
2014-10-21,6,5.12,80,27-137-7001
2014-10-21,7,5.61,80,27-137-7001
2014-10-22,4,6.02,133,27-137-7001
2014-10-29,23,4.02,251,27-137-7001
2014-10-30,7,3.83,263,27-137-7001
2014-10-30,15,7.99,321,27-137-7001
2014-10-30,16,7.67,312,27-137-7001
2014-11-05,16,1.89,24,27-137-7001
2014-11-12,23,5.69,334,27-137-7001
2014-11-13,0,5.07,342,27-137-7001
2014-11-21,1,3.03,274,27-137-7001
2014-12-09,18,3.67,152,27-137-7001
2014-12-09,19,4.03,158,27-137-7001
2014-12-15,17,7.44,342,27-137-7001
2014-12-15,20,8.11,352,27-137-7001
2014-12-27,10,6.4,338,27-137-7001
2014-12-27,11,6.22,340,27-137-7001
2015-04-01,6,10.62,87,27-017-7417
2015-04-01,7,9.81,97,27-017-7417
2015-04-01,8,8.96,89,27-017-7417
2015-04-01,9,8.16,97,27-017-7417
2015-04-01,10,9.99,90,27-017-7417
2015-04-01,11,9.24,105,27-017-7417
2015-04-01,12,9.28,96,27-017-7417
2015-04-01,17,12.84,108,27-017-7417
2015-04-01,18,10.74,108,27-017-7417
2015-04-01,19,10.35,91,27-017-7417
2015-04-01,20,10.78,111,27-017-7417
2015-04-01,21,9.73,111,27-017-7417
2015-04-01,22,9.42,111,27-017-7417
2015-04-01,23,7.34,111,27-017-7417
2015-04-02,0,6.23,110,27-017-7417
2015-04-02,1,0.65,134,27-017-7417
2015-04-02,2,0.07,75,27-017-7417
2015-04-02,3,0.25,255,27-017-7417
2015-04-02,4,5.05,260,27-017-7417
2015-04-02,5,7.91,294,27-017-7417
2015-04-02,6,8.37,259,27-017-7417
2015-04-02,7,10.89,271,27-017-7417
2015-04-02,8,12.27,272,27-017-7417
2015-04-02,9,10.3,271,27-017-7417
2015-04-02,10,9.88,269,27-017-7417
2015-04-02,11,8.96,268,27-017-7417
2015-04-02,12,7.35,261,27-017-7417
2015-04-02,14,10.01,259,27-017-7417
2015-04-02,15,15.8,259,27-017-7417
2015-04-02,16,14.06,255,27-017-7417
2015-04-02,17,20.2,260,27-017-7417
2015-04-02,18,25.01,268,27-017-7417
2015-04-02,19,22.66,245,27-017-7417
2015-04-02,20,22.1,251,27-017-7417
2015-04-02,21,22.28,263,27-017-7417
2015-04-02,23,21.44,254,27-017-7417
2015-04-03,0,20.35,269,27-017-7417
2015-04-03,1,19.74,282,27-017-7417
2015-04-03,2,17.32,273,27-017-7417
2015-04-03,3,20.54,301,27-017-7417
2015-04-03,4,17.31,294,27-017-7417
2015-04-03,5,12.24,306,27-017-7417
2015-04-03,6,14.59,321,27-017-7417
2015-04-03,7,17.59,313,27-017-7417
2015-04-03,8,16.25,321,27-017-7417
2015-04-03,9,14.12,314,27-017-7417
2015-04-03,10,13.62,313,27-017-7417
2015-04-03,11,13.6,314,27-017-7417
2015-04-03,12,16.32,339,27-017-7417
2015-04-03,13,8.71,323,27-017-7417
2015-04-03,14,13.15,316,27-017-7417
2015-04-03,15,11.63,314,27-017-7417
2015-04-03,16,12.54,323,27-017-7417
2015-04-03,17,6.74,298,27-017-7417
2015-04-03,18,11.81,305,27-017-7417
2015-04-03,19,10.25,327,27-017-7417
2015-04-03,20,8.82,279,27-017-7417
2015-04-03,21,10.33,291,27-017-7417
2015-04-03,22,12.05,298,27-017-7417
2015-04-03,23,10.38,275,27-017-7417
2015-04-04,0,9.22,298,27-017-7417
2015-04-04,1,7.17,299,27-017-7417
2015-04-04,2,6.25,316,27-017-7417
2015-04-04,3,7.45,326,27-017-7417
2015-04-04,4,0.84,289,27-017-7417
2015-04-04,5,0.68,326,27-017-7417
2015-04-04,6,0.23,327,27-017-7417
2015-04-04,7,2.44,333,27-017-7417
2015-04-04,8,0.76,317,27-017-7417
2015-04-04,9,2.01,99,27-017-7417
2015-04-04,10,4.68,352,27-017-7417
2015-04-04,11,2.97,343,27-017-7417
2015-04-04,12,5.42,340,27-017-7417
2015-04-04,13,3.36,329,27-017-7417
2015-04-04,14,6.61,315,27-017-7417
2015-04-04,15,8.48,315,27-017-7417
2015-04-04,16,8.37,312,27-017-7417
2015-04-04,17,7.63,301,27-017-7417
2015-04-04,18,9.14,317,27-017-7417
2015-04-04,19,12.88,283,27-017-7417
2015-04-04,20,12.16,283,27-017-7417
2015-04-04,21,9.17,304,27-017-7417
2015-04-04,22,10.48,300,27-017-7417
2015-04-04,23,7.67,322,27-017-7417
2015-04-05,0,7.96,258,27-017-7417
2015-04-05,1,0.84,326,27-017-7417
2015-04-05,2,4.8,351,27-017-7417
2015-04-05,3,4.76,334,27-017-7417
2015-04-05,4,4.75,336,27-017-7417
2015-04-05,5,5.02,6,27-017-7417
2015-04-05,6,1,35,27-017-7417
2015-04-05,7,1.13,50,27-017-7417
2015-04-05,9,6.02,48,27-017-7417
2015-04-05,10,1.1,50,27-017-7417
2015-04-05,11,5.74,39,27-017-7417
2015-04-05,12,5.99,40,27-017-7417
2015-04-05,13,7.25,61,27-017-7417
2015-04-05,14,7.95,74,27-017-7417
2015-04-05,15,9.03,88,27-017-7417
2015-04-05,16,7.8,84,27-017-7417
2015-04-05,17,2.73,3,27-017-7417
2015-04-05,18,7.17,68,27-017-7417
2015-04-05,19,8.3,93,27-017-7417
2015-04-05,20,7.73,94,27-017-7417
2015-04-05,21,10.42,88,27-017-7417
2015-04-05,22,7.84,95,27-017-7417
2015-04-05,23,5.71,121,27-017-7417
2015-04-06,0,7.64,97,27-017-7417
2015-04-06,1,6.34,67,27-017-7417
2015-04-06,2,6.31,67,27-017-7417
2015-04-06,3,7.09,68,27-017-7417
2015-04-06,4,6.3,83,27-017-7417
2015-04-06,5,8.49,69,27-017-7417
2015-04-06,6,8.65,68,27-017-7417
2015-04-06,7,7.07,85,27-017-7417
2015-04-06,8,7.3,61,27-017-7417
2015-04-06,9,6.21,73,27-017-7417
2015-04-06,10,7.84,65,27-017-7417
2015-04-06,11,8.05,66,27-017-7417
2015-04-06,12,8.7,66,27-017-7417
2015-04-06,13,7.9,51,27-017-7417
2015-04-06,14,9.82,75,27-017-7417
2015-04-06,15,9.64,61,27-017-7417
2015-04-06,16,9.14,81,27-017-7417
2015-04-06,17,11.24,68,27-017-7417
2015-04-06,18,10.35,76,27-017-7417
2015-04-06,19,12.54,77,27-017-7417
2015-04-06,20,10.03,85,27-017-7417
2015-04-06,21,8.09,76,27-017-7417
2015-04-06,22,8.46,73,27-017-7417
2015-04-06,23,9.88,66,27-017-7417
2015-04-07,0,6.59,72,27-017-7417
2015-04-07,1,6.19,68,27-017-7417
2015-04-07,2,7.13,84,27-017-7417
2015-04-07,3,8.11,68,27-017-7417
2015-04-07,4,8.02,76,27-017-7417
2015-04-07,5,8.94,53,27-017-7417
2015-04-07,6,9.04,68,27-017-7417
2015-04-07,7,8.52,76,27-017-7417
2015-04-07,8,7.73,75,27-017-7417
2015-04-07,9,12.42,69,27-017-7417
2015-04-07,10,12.5,77,27-017-7417
2015-04-07,11,11.18,69,27-017-7417
2015-04-07,12,12.87,77,27-017-7417
2015-04-07,13,11.4,70,27-017-7417
2015-04-07,14,12.9,71,27-017-7417
2015-04-07,15,16.28,78,27-017-7417
2015-04-07,16,14.82,79,27-017-7417
2015-04-07,17,16.5,71,27-017-7417
2015-04-07,18,17.65,71,27-017-7417
2015-04-07,19,16.23,71,27-017-7417
2015-04-07,20,12.44,76,27-017-7417
2015-04-07,21,16.27,70,27-017-7417
2015-04-07,22,16.13,62,27-017-7417
2015-04-07,23,17.74,69,27-017-7417
2015-04-08,0,16.43,78,27-017-7417
2015-04-08,1,15.95,79,27-017-7417
2015-04-08,2,9.86,78,27-017-7417
2015-04-08,3,10.67,70,27-017-7417
2015-04-08,4,10.55,79,27-017-7417
2015-04-08,5,11,86,27-017-7417
2015-04-08,6,8.84,77,27-017-7417
2015-04-08,7,6.94,79,27-017-7417
2015-04-08,8,7.17,67,27-017-7417
2015-04-08,9,7.2,68,27-017-7417
2015-04-08,10,6.36,75,27-017-7417
2015-04-08,11,7.07,68,27-017-7417
2015-04-08,12,7.28,69,27-017-7417
2015-04-08,15,8.02,77,27-017-7417
2015-04-08,16,8.88,78,27-017-7417
2015-04-08,17,9.89,70,27-017-7417
2015-04-08,18,9.88,69,27-017-7417
2015-04-08,19,9.63,73,27-017-7417
2015-04-08,20,7.42,73,27-017-7417
2015-04-08,21,7.99,52,27-017-7417
2015-04-08,22,8.25,75,27-017-7417
2015-04-08,23,5.75,84,27-017-7417
2015-04-09,0,6.68,79,27-017-7417
2015-04-09,1,6.67,73,27-017-7417
2015-04-09,2,9.09,75,27-017-7417
2015-04-09,3,7.48,69,27-017-7417
2015-04-09,4,7.97,69,27-017-7417
2015-04-09,5,7.49,68,27-017-7417
2015-04-09,6,7.36,51,27-017-7417
2015-04-09,7,6.57,68,27-017-7417
2015-04-09,8,6.38,66,27-017-7417
2015-04-09,9,1.58,57,27-017-7417
2015-04-09,10,6.43,25,27-017-7417
2015-04-09,11,0.98,26,27-017-7417
2015-04-09,12,3.4,52,27-017-7417
2015-04-09,13,6.02,19,27-017-7417
2015-04-09,14,6.01,46,27-017-7417
2015-04-09,15,8.48,39,27-017-7417
2015-04-09,16,6.96,16,27-017-7417
2015-04-09,17,7.01,30,27-017-7417
2015-04-09,18,7.64,1,27-017-7417
2015-04-09,19,5.14,12,27-017-7417
2015-04-09,20,6.3,12,27-017-7417
2015-04-09,21,7.06,36,27-017-7417
2015-04-09,22,6,60,27-017-7417
2015-04-09,23,6.83,83,27-017-7417
2015-04-10,0,6.58,102,27-017-7417
2015-04-10,1,3.14,92,27-017-7417
2015-04-10,2,0.67,56,27-017-7417
2015-04-10,3,0.88,40,27-017-7417
2015-04-10,4,2.94,35,27-017-7417
2015-04-10,5,1.72,299,27-017-7417
2015-04-10,6,0.42,290,27-017-7417
2015-04-10,7,5.75,281,27-017-7417
2015-04-10,8,2.75,265,27-017-7417
2015-04-10,9,4.64,289,27-017-7417
2015-04-10,10,4.52,305,27-017-7417
2015-04-10,11,6.07,310,27-017-7417
2015-04-10,12,8.77,329,27-017-7417
2015-04-10,13,8.74,331,27-017-7417
2015-04-10,14,7.53,339,27-017-7417
2015-04-10,15,8.78,344,27-017-7417
2015-04-10,16,9.73,353,27-017-7417
2015-04-10,17,16.09,301,27-017-7417
2015-04-10,18,16.43,302,27-017-7417
2015-04-10,19,20.72,328,27-017-7417
2015-04-10,20,15.74,297,27-017-7417
2015-04-10,21,13.17,314,27-017-7417
2015-04-10,22,10.93,297,27-017-7417
2015-04-10,23,9.91,298,27-017-7417
2015-04-11,0,8.66,293,27-017-7417
2015-04-11,1,6.06,286,27-017-7417
2015-04-11,2,5.07,284,27-017-7417
2015-04-11,3,4.78,280,27-017-7417
2015-04-11,4,4.39,259,27-017-7417
2015-04-11,5,0.24,258,27-017-7417
2015-04-11,6,2.64,270,27-017-7417
2015-04-11,7,4.62,275,27-017-7417
2015-04-11,8,3,263,27-017-7417
2015-04-11,9,0.71,232,27-017-7417
2015-04-11,10,0.69,228,27-017-7417
2015-04-11,11,4.7,230,27-017-7417
2015-04-11,12,4.92,221,27-017-7417
2015-04-11,13,6.61,211,27-017-7417
2015-04-11,14,9.51,211,27-017-7417
2015-04-11,15,12.6,212,27-017-7417
2015-04-11,16,9.17,204,27-017-7417
2015-04-11,17,11.32,203,27-017-7417
2015-04-11,18,12.74,216,27-017-7417
2015-04-11,19,15.03,192,27-017-7417
2015-04-11,20,12.94,191,27-017-7417
2015-04-11,21,14.68,191,27-017-7417
2015-04-11,22,17.24,200,27-017-7417
2015-04-11,23,13.95,182,27-017-7417
2015-04-12,0,8.36,181,27-017-7417
2015-04-12,1,7.07,172,27-017-7417
2015-04-12,2,7.39,155,27-017-7417
2015-04-12,3,8.09,161,27-017-7417
2015-04-12,4,8.21,163,27-017-7417
2015-04-12,5,8.48,173,27-017-7417
2015-04-12,6,10.88,180,27-017-7417
2015-04-12,7,11.12,181,27-017-7417
2015-04-12,9,9.6,191,27-017-7417
2015-04-12,10,10.26,190,27-017-7417
2015-04-12,11,10.02,175,27-017-7417
2015-04-12,12,9.67,173,27-017-7417
2015-04-12,13,13.5,182,27-017-7417
2015-04-12,14,16.95,189,27-017-7417
2015-04-12,15,17.46,190,27-017-7417
2015-04-12,16,22.45,191,27-017-7417
2015-04-12,17,20,183,27-017-7417
2015-04-12,18,21.92,183,27-017-7417
2015-04-12,19,20.87,192,27-017-7417
2015-04-12,20,24.33,184,27-017-7417
2015-04-12,21,23.54,184,27-017-7417
2015-04-12,22,20.01,201,27-017-7417
2015-04-12,23,20.76,200,27-017-7417
2015-04-13,0,9.19,189,27-017-7417
2015-04-13,1,12.52,167,27-017-7417
2015-04-13,2,5.45,228,27-017-7417
2015-04-13,3,7.62,211,27-017-7417
2015-04-13,4,8.16,277,27-017-7417
2015-04-13,5,11.73,297,27-017-7417
2015-04-13,6,8.91,288,27-017-7417
2015-04-13,7,9.81,280,27-017-7417
2015-04-13,8,7.14,297,27-017-7417
2015-04-13,9,8.4,282,27-017-7417
2015-04-13,10,8.79,270,27-017-7417
2015-04-13,11,7.06,270,27-017-7417
2015-04-13,12,8.02,278,27-017-7417
2015-04-13,13,12.37,279,27-017-7417
2015-04-13,14,13.46,271,27-017-7417
2015-04-13,15,12.67,280,27-017-7417
2015-04-13,16,15.1,289,27-017-7417
2015-04-13,17,16.14,296,27-017-7417
2015-04-13,18,15.87,256,27-017-7417
2015-04-13,19,16.27,271,27-017-7417
2015-04-13,20,16.23,265,27-017-7417
2015-04-13,21,18.78,257,27-017-7417
2015-04-13,22,10.53,274,27-017-7417
2015-04-13,23,14.56,274,27-017-7417
2015-04-14,0,16.48,291,27-017-7417
2015-04-14,1,6.75,291,27-017-7417
2015-04-14,2,3.57,266,27-017-7417
2015-04-14,3,5.08,259,27-017-7417
2015-04-14,4,6.8,241,27-017-7417
2015-04-14,5,7.54,249,27-017-7417
2015-04-14,6,6.23,240,27-017-7417
2015-04-14,7,8.69,249,27-017-7417
2015-04-14,8,5.95,265,27-017-7417
2015-04-14,9,8.31,257,27-017-7417
2015-04-14,10,5.89,267,27-017-7417
2015-04-14,11,5.53,278,27-017-7417
2015-04-14,12,5.84,260,27-017-7417
2015-04-14,13,6.78,240,27-017-7417
2015-04-14,14,6.17,225,27-017-7417
2015-04-14,15,9.67,224,27-017-7417
2015-04-14,16,7.95,209,27-017-7417
2015-04-14,17,8.03,249,27-017-7417
2015-04-14,18,9.38,216,27-017-7417
2015-04-14,19,6.42,175,27-017-7417
2015-04-14,20,9.41,226,27-017-7417
2015-04-14,21,5.74,199,27-017-7417
2015-04-14,22,9.26,211,27-017-7417
2015-04-14,23,4.73,179,27-017-7417
2015-04-15,0,3.25,173,27-017-7417
2015-04-15,1,0.64,132,27-017-7417
2015-04-15,2,2.94,125,27-017-7417
2015-04-15,3,3.82,94,27-017-7417
2015-04-15,4,5.63,77,27-017-7417
2015-04-15,5,5.84,79,27-017-7417
2015-04-15,6,0.94,89,27-017-7417
2015-04-15,7,0.87,105,27-017-7417
2015-04-15,8,4.11,114,27-017-7417
2015-04-15,9,3.2,95,27-017-7417
2015-04-15,10,3.26,108,27-017-7417
2015-04-15,11,3.22,110,27-017-7417
2015-04-15,12,3.08,115,27-017-7417
2015-04-15,15,9.83,142,27-017-7417
2015-04-15,16,10.24,160,27-017-7417
2015-04-15,17,13.25,178,27-017-7417
2015-04-15,18,13.29,184,27-017-7417
2015-04-15,19,13.23,166,27-017-7417
2015-04-15,20,8.58,157,27-017-7417
2015-04-15,21,12.38,185,27-017-7417
2015-04-15,22,7.4,141,27-017-7417
2015-04-15,23,5.84,116,27-017-7417
2015-04-16,0,5.6,120,27-017-7417
2015-04-16,1,4.56,103,27-017-7417
2015-04-16,2,0.73,124,27-017-7417
2015-04-16,3,0.69,134,27-017-7417
2015-04-16,4,4.55,137,27-017-7417
2015-04-16,5,0.27,131,27-017-7417
2015-04-16,6,4.36,156,27-017-7417
2015-04-16,7,5.76,164,27-017-7417
2015-04-16,8,3.25,128,27-017-7417
2015-04-16,9,3.11,129,27-017-7417
2015-04-16,10,3.01,123,27-017-7417
2015-04-16,11,0.51,171,27-017-7417
2015-04-16,12,3.16,136,27-017-7417
2015-04-16,13,4.5,178,27-017-7417
2015-04-16,14,5.61,191,27-017-7417
2015-04-16,15,7.18,192,27-017-7417
2015-04-16,16,6.72,193,27-017-7417
2015-04-16,17,9.16,204,27-017-7417
2015-04-16,18,11.51,223,27-017-7417
2015-04-16,19,7.42,214,27-017-7417
2015-04-16,20,9.8,242,27-017-7417
2015-04-16,21,7.09,248,27-017-7417
2015-04-16,22,12.03,250,27-017-7417
2015-04-16,23,6.93,246,27-017-7417
2015-04-17,0,7.07,252,27-017-7417
2015-04-17,1,0.76,321,27-017-7417
2015-04-17,2,1.83,301,27-017-7417
2015-04-17,3,3.29,345,27-017-7417
2015-04-17,4,5.3,333,27-017-7417
2015-04-17,5,4.84,313,27-017-7417
2015-04-17,6,5.93,314,27-017-7417
2015-04-17,7,2.96,324,27-017-7417
2015-04-17,8,5.74,323,27-017-7417
2015-04-17,9,3.07,325,27-017-7417
2015-04-17,10,4.2,319,27-017-7417
