Transaction Type|Action Indicator|State Code|County Code|Site Number|Parameter|POC|Duration Code|Reported Unit|Method Code|Sample Date|Sample Begin Time|Reported Sample Value|Null Data Code|Collection Frequency Code|Monitor Protocol ID|Qualifier Code - 1|Qualifier Code - 2|Qualifier Code - 3|Qualifier Code - 4|Qualifier Code - 5|Qualifier Code - 6|Qualifier Code - 7|Qualifier Code - 8|Qualifier Code - 9|Qualifier Code - 10|Alternate Method Detection Limit|Uncertainty Value
RD|I|27|137|7001|44201|1|1|007|003|20150522|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150523|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150530|18 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150531|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150531|20 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150531|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150616|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150619|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150627|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150628|9 :00|-3||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150706|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150706|23 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150715|11 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150720|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150726|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150803|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150804|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150805|21 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150809|8 :00|-3||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150817|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150818|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150820|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150820|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150820|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150820|20 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150820|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150820|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150821|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150823|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150824|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150824|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150826|20 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150906|12 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150906|13 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150907|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150907|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150907|19 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150907|20 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150907|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150909|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150910|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150910|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150910|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150911|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150911|9 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150911|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150911|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140403|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140701|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140709|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140729|14 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140729|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140818|13 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140818|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140819|13 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140819|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140825|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140825|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140825|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140825|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140826|13 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140826|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140826|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140826|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140827|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140827|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140902|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140903|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140904|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|9 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|10 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|13 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|20 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140905|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140906|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140906|20 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140910|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140911|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140914|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140915|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140921|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140929|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140929|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140929|11 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140929|12 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140930|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140930|12 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20140930|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141001|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141003|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141003|20 :00|-2||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141003|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141004|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141007|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141008|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141008|14 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141016|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141016|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141016|17 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141016|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141017|1 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141018|4 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141021|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141021|7 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141022|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141029|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141030|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141030|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141030|16 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141105|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141112|23 :00|-2||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141113|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141121|1 :00|-2||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141209|18 :00|-3||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141209|19 :00|-2||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141215|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141215|20 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141227|10 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20141227|11 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|6 :00|0.037||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|7 :00|0.037||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|8 :00|0.036||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|9 :00|0.036||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|10 :00|0.036||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|11 :00|0.028||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|12 :00|0.034||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|17 :00|0.038||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|18 :00|0.035||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|19 :00|0.034||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|20 :00|0.034||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|21 :00|0.036||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|22 :00|0.036||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150401|23 :00|0.035||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150402|0 :00|0.036||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150402|1 :00|0.034||S|TRIBAL||||||||||||
